x1,g12,x2,g21,l12
0.2,1.25982374,0.8,2.536195124,0.704839388
0.25,1.163407136,0.75,2.327958186,0.508919128
0.3,1.085890282,0.7,2.130666763,0.34032623
0.35,1.02075561,0.65,1.961006011,0.191046009
0.4,0.964659649,0.6,1.817101727,0.056541197
0.45,0.915095887,0.55,1.692211948,-0.065856413
0.5,0.856339616,0.5,1.597132672,-0.185198264
0.55,0.803935252,0.45,1.507576323,-0.293244949
0.6,0.745818237,0.4,1.430229075,-0.395551549
0.65,0.713539058,0.35,1.344800921,-0.480769854
0.7,0.707881278,0.3,1.259266143,-0.553331095
0.75,0.632301647,0.25,1.210228905,-0.641234906
0.8,0.51471429,0.2,1.163534662,-0.724073612
0.85,0.610806555,0.15,1.069276183,-0.758808894
