ﾃﾞｰﾀﾘｽﾄ,
波長 (nm),強度 (arb. unit)
250,4.798
250.2,4.762
250.4,4.767
250.6,4.805
250.8,4.764
251,4.75
251.2,4.761
251.4,4.727
251.6,4.688
251.8,4.656
252,4.646
252.2,4.588
252.4,4.547
252.6,4.498
252.8,4.438
253,4.401
253.2,4.318
253.4,4.238
253.6,4.145
253.8,4.084
254,3.97
254.2,3.878
254.4,3.776
254.6,3.658
254.8,3.544
255,3.417
255.2,3.286
255.4,3.144
255.6,3.006
255.8,2.892
256,2.769
256.2,2.658
256.4,2.558
256.6,2.441
256.8,2.323
257,2.182
257.2,2.054
257.4,1.936
257.6,1.849
257.8,1.759
258,1.636
258.2,1.534
258.4,1.437
258.6,1.347
258.8,1.251
259,1.175
259.2,1.129
259.4,1.045
259.6,0.982
259.8,0.928
260,0.87
260.2,0.812
260.4,0.772
260.6,0.731
260.8,0.693
261,0.654
261.2,0.613
261.4,0.589
261.6,0.562
261.8,0.536
262,0.53
262.2,0.514
262.4,0.505
262.6,0.496
262.8,0.481
263,0.467
263.2,0.446
263.4,0.429
263.6,0.419
263.8,0.407
264,0.403
264.2,0.392
264.4,0.388
264.6,0.39
264.8,0.392
265,0.384
265.2,0.387
265.4,0.381
265.6,0.375
265.8,0.371
266,0.369
266.2,0.362
266.4,0.369
266.6,0.369
266.8,0.362
267,0.373
267.2,0.376
267.4,0.376
267.6,0.377
267.8,0.37
268,0.367
268.2,0.369
268.4,0.365
268.6,0.372
268.8,0.373
269,0.369
269.2,0.371
269.4,0.357
269.6,0.348
269.8,0.361
270,0.354
270.2,0.355
270.4,0.363
270.6,0.361
270.8,0.367
271,0.363
271.2,0.362
271.4,0.362
271.6,0.365
271.8,0.366
272,0.36
272.2,0.357
272.4,0.359
272.6,0.365
272.8,0.357
273,0.348
273.2,0.346
273.4,0.352
273.6,0.346
273.8,0.345
274,0.338
274.2,0.333
274.4,0.33
274.6,0.329
274.8,0.327
275,0.329
275.2,0.33
275.4,0.314
275.6,0.317
275.8,0.322
276,0.327
276.2,0.316
276.4,0.306
276.6,0.306
276.8,0.309
277,0.309
277.2,0.315
277.4,0.309
277.6,0.306
277.8,0.303
278,0.304
278.2,0.308
278.4,0.311
278.6,0.312
278.8,0.315
279,0.322
279.2,0.316
279.4,0.318
279.6,0.317
279.8,0.321
280,0.325
280.2,0.328
280.4,0.322
280.6,0.324
280.8,0.32
281,0.325
281.2,0.326
281.4,0.324
281.6,0.324
281.8,0.32
282,0.326
282.2,0.318
282.4,0.32
282.6,0.32
282.8,0.32
283,0.323
283.2,0.323
283.4,0.316
283.6,0.32
283.8,0.319
284,0.32
284.2,0.32
284.4,0.315
284.6,0.311
284.8,0.306
285,0.304
285.2,0.306
285.4,0.303
285.6,0.302
285.8,0.3
286,0.302
286.2,0.296
286.4,0.301
286.6,0.305
286.8,0.303
287,0.302
287.2,0.307
287.4,0.312
287.6,0.304
287.8,0.307
288,0.306
288.2,0.312
288.4,0.312
288.6,0.308
