ﾃﾞｰﾀﾘｽﾄ,
波長 (nm),強度 (arb. unit)
380,7.821
380.2,8.053
380.4,8.65
380.6,9.447
380.8,10.42
381,11.52
381.2,12.75
381.4,14.04
381.6,15.54
381.8,17.14
382,18.96
382.2,20.97
382.4,23.09
382.6,25.3
382.8,27.52
383,29.73
383.2,32.16
383.4,34.59
383.6,37.24
383.8,39.9
384,42.64
384.2,45.33
384.4,48.01
384.6,50.62
384.8,53.26
385,55.84
385.2,58.47
385.4,61.08
385.6,63.64
385.8,66.06
386,68.42
386.2,70.64
386.4,72.82
386.6,74.87
386.8,76.95
387,78.84
387.2,80.7
387.4,82.37
387.6,83.9
387.8,85.22
388,86.45
388.2,87.65
388.4,88.74
388.6,89.64
388.8,90.57
389,91.34
389.2,92.08
389.4,92.61
389.6,93.12
389.8,93.59
390,94.1
390.2,94.5
390.4,94.9
390.6,95.31
390.8,95.73
391,96.16
391.2,96.67
391.4,97.23
391.6,97.92
391.8,98.69
392,99.66
392.2,100.8
392.4,102
392.6,103.2
392.8,104.6
393,106.4
393.2,108.4
393.4,110.6
393.6,113.2
393.8,115.9
394,118.9
394.2,122.1
394.4,125.6
394.6,129.4
394.8,133.9
395,138.8
395.2,144.1
395.4,149.6
395.6,155.5
395.8,161.5
396,168.1
396.2,175
396.4,182.8
396.6,191.1
396.8,199.8
397,208.7
397.2,217.9
397.4,226.9
397.6,236.5
397.8,246.4
398,257
398.2,268
398.4,279
398.6,290
398.8,301
399,311.7
399.2,322.6
399.4,333.5
399.6,344.9
399.8,356.1
400,367.4
400.2,378.2
400.4,388.6
400.6,398.5
400.8,408.3
401,418
401.2,427.5
401.4,436.8
401.6,445.7
401.8,453.9
402,461.6
402.2,468.6
402.4,475.2
402.6,481.1
402.8,486.8
403,492
403.2,496.3
403.4,499.7
403.6,502.6
403.8,504.4
404,505.9
404.2,506.7
404.4,506.6
404.6,506
404.8,504.9
405,503.2
405.2,500.9
405.4,498.4
405.6,495.4
405.8,491.8
406,487.6
406.2,482.9
406.4,477.7
406.6,472.3
406.8,466.6
407,461.1
407.2,454.9
407.4,448.7
407.6,442
407.8,435.2
408,428.4
408.2,421.6
408.4,415.1
408.6,409
408.8,402.4
409,395.9
409.2,389
409.4,382.2
409.6,375.2
409.8,368.6
410,362
410.2,355.8
410.4,349.3
410.6,342.9
410.8,336.1
411,329.3
411.2,322.8
411.4,316.5
411.6,310.3
411.8,304.5
412,298.6
412.2,292.9
412.4,287.1
412.6,281.3
412.8,275.8
413,270.4
413.2,265.3
413.4,260.8
413.6,256.1
413.8,251.7
414,247.3
414.2,243.1
414.4,239.2
414.6,235.7
414.8,232.4
415,229.5
415.2,226.9
415.4,224.4
415.6,222.2
415.8,220.3
416,218.7
416.2,217.4
416.4,216.5
416.6,215.8
416.8,215.6
417,215.4
417.2,215.7
417.4,216.2
417.6,217.2
417.8,218.1
418,219.5
418.2,220.9
418.4,222.6
418.6,224.7
418.8,226.9
419,229.5
419.2,232.3
419.4,235.1
419.6,238.2
419.8,241.3
420,244.7
420.2,248.2
420.4,251.9
420.6,256
420.8,260.2
421,264.5
421.2,268.6
421.4,272.8
421.6,277.2
421.8,281.4
422,286.1
422.2,290.8
422.4,295.3
422.6,300.1
422.8,304.5
423,309
423.2,313.2
423.4,317.3
423.6,321.5
423.8,325.6
424,329.8
424.2,333.4
424.4,337
424.6,340.3
424.8,343.3
425,346
425.2,348.6
425.4,351
425.6,353.3
425.8,355.2
426,356.8
426.2,358.1
426.4,359.2
426.6,359.8
426.8,360.3
427,360.3
427.2,360.2
427.4,359.7
427.6,358.9
427.8,358.1
428,356.9
428.2,355.5
428.4,353.7
428.6,351.4
428.8,349
429,346.6
429.2,343.6
429.4,340.6
429.6,337.3
429.8,333.8
430,329.9
430.2,325.4
430.4,321
430.6,316.5
430.8,311.9
431,307.3
431.2,302.5
431.4,297.8
431.6,292.8
431.8,287.6
432,282.3
432.2,277.2
432.4,272.2
432.6,267.4
432.8,262.4
433,257.6
433.2,252.6
433.4,247.4
433.6,242.4
433.8,237.5
434,232.6
434.2,228
434.4,223.2
434.6,218.6
434.8,213.9
435,209.2
435.2,204.7
435.4,200.3
435.6,196.1
435.8,192.1
436,188.1
436.2,184.2
436.4,180.2
436.6,176.3
436.8,172.5
437,168.9
437.2,165.5
437.4,162.1
437.6,159
437.8,155.9
438,152.6
438.2,149.3
438.4,146.3
438.6,143.3
438.8,140.5
439,137.9
439.2,135.3
439.4,132.8
439.6,130.3
439.8,128
440,125.7
440.2,123.6
440.4,121.6
440.6,119.8
440.8,118
441,116.3
441.2,114.7
441.4,113.2
441.6,111.8
441.8,110.5
442,109.3
442.2,108.2
442.4,107.1
442.6,106.1
442.8,105.2
443,104.3
443.2,103.6
443.4,102.9
443.6,102.4
443.8,101.9
444,101.7
444.2,101.4
444.4,101.1
444.6,100.9
444.8,100.9
445,100.9
445.2,100.8
445.4,101
445.6,101.1
445.8,101.4
446,101.6
446.2,101.9
446.4,102.3
446.6,102.6
446.8,102.9
447,103.3
447.2,103.6
447.4,104.1
447.6,104.5
447.8,104.9
448,105.3
448.2,105.7
448.4,106.2
448.6,106.5
448.8,106.8
449,107.2
449.2,107.5
449.4,107.9
449.6,108.2
449.8,108.6
450,108.8
450.2,108.9
450.4,109.1
450.6,109.3
450.8,109.5
451,109.6
451.2,109.7
451.4,109.7
451.6,109.8
451.8,109.8
452,110
452.2,110
452.4,109.9
452.6,109.8
452.8,109.7
453,109.6
453.2,109.4
453.4,109.2
453.6,108.9
453.8,108.8
454,108.5
454.2,108.1
454.4,107.7
454.6,107.2
454.8,106.7
455,106.3
455.2,105.6
455.4,105
455.6,104.2
455.8,103.3
456,102.5
456.2,101.5
456.4,100.7
456.6,99.89
456.8,98.87
457,97.9
457.2,96.82
457.4,95.76
457.6,94.74
457.8,93.63
458,92.47
458.2,91.39
458.4,90.25
458.6,89.08
458.8,87.83
459,86.57
459.2,85.32
459.4,83.95
459.6,82.65
459.8,81.49
460,80.18
460.2,78.98
460.4,77.6
460.6,76.23
460.8,74.95
461,73.62
461.2,72.38
461.4,71.09
461.6,69.83
461.8,68.59
462,67.36
462.2,66
462.4,64.62
462.6,63.34
462.8,62.15
463,60.98
463.2,59.85
463.4,58.64
463.6,57.41
463.8,56.24
464,55.11
464.2,54.04
464.4,53.01
464.6,52.07
464.8,51.1
465,50.18
465.2,49.16
465.4,48.27
465.6,47.34
465.8,46.47
466,45.66
466.2,44.85
466.4,43.98
466.6,43.24
466.8,42.47
467,41.68
467.2,40.86
467.4,40.12
467.6,39.42
467.8,38.71
468,38.01
468.2,37.38
468.4,36.71
468.6,36.06
468.8,35.44
469,34.88
469.2,34.4
469.4,33.9
469.6,33.43
469.8,32.94
470,32.5
470.2,32.05
