装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,450,nm
蛍光開始波長:,500,nm
蛍光終了波長:,800,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
500,5.818,
500.2,5.845,
500.4,5.828,
500.6,5.849,
500.8,5.822,
501,5.824,
501.2,5.778,
501.4,5.741,
501.6,5.706,
501.8,5.68,
502,5.662,
502.2,5.607,
502.4,5.597,
502.6,5.538,
502.8,5.513,
503,5.506,
503.2,5.504,
503.4,5.503,
503.6,5.483,
503.8,5.487,
504,5.474,
504.2,5.484,
504.4,5.445,
504.6,5.45,
504.8,5.432,
505,5.368,
505.2,5.38,
505.4,5.385,
505.6,5.418,
505.8,5.401,
506,5.387,
506.2,5.405,
506.4,5.41,
506.6,5.378,
506.8,5.368,
507,5.365,
507.2,5.359,
507.4,5.346,
507.6,5.304,
507.8,5.309,
508,5.298,
508.2,5.278,
508.4,5.286,
508.6,5.281,
508.8,5.248,
509,5.232,
509.2,5.214,
509.4,5.233,
509.6,5.217,
509.8,5.222,
510,5.184,
510.2,5.142,
510.4,5.133,
510.6,5.119,
510.8,5.108,
511,5.066,
511.2,5.079,
511.4,5.019,
511.6,5.012,
511.8,4.996,
512,4.983,
512.2,4.954,
512.4,4.958,
512.6,4.932,
512.8,4.909,
513,4.893,
513.2,4.811,
513.4,4.81,
513.6,4.779,
513.8,4.786,
514,4.784,
514.2,4.738,
514.4,4.672,
514.6,4.655,
514.8,4.69,
515,4.679,
515.2,4.695,
515.4,4.662,
515.6,4.631,
515.8,4.624,
516,4.596,
516.2,4.593,
516.4,4.57,
516.6,4.523,
516.8,4.505,
517,4.44,
517.2,4.439,
517.4,4.404,
517.6,4.415,
517.8,4.429,
518,4.389,
518.2,4.344,
518.4,4.323,
518.6,4.318,
518.8,4.292,
519,4.307,
519.2,4.316,
519.4,4.312,
519.6,4.309,
519.8,4.28,
520,4.303,
520.2,4.304,
520.4,4.292,
520.6,4.289,
520.8,4.255,
521,4.267,
521.2,4.231,
521.4,4.229,
521.6,4.23,
521.8,4.26,
522,4.227,
522.2,4.22,
522.4,4.221,
522.6,4.228,
522.8,4.21,
523,4.198,
523.2,4.183,
523.4,4.184,
523.6,4.182,
523.8,4.184,
524,4.203,
524.2,4.206,
524.4,4.207,
524.6,4.204,
524.8,4.201,
525,4.18,
525.2,4.208,
525.4,4.163,
525.6,4.17,
525.8,4.19,
526,4.175,
526.2,4.199,
526.4,4.212,
526.6,4.224,
526.8,4.207,
527,4.215,
527.2,4.214,
527.4,4.169,
527.6,4.188,
527.8,4.163,
528,4.173,
528.2,4.168,
528.4,4.194,
528.6,4.206,
528.8,4.233,
529,4.219,
529.2,4.16,
529.4,4.176,
529.6,4.17,
529.8,4.177,
530,4.163,
530.2,4.172,
530.4,4.157,
530.6,4.182,
530.8,4.183,
531,4.201,
531.2,4.161,
531.4,4.132,
531.6,4.095,
531.8,4.096,
532,4.078,
532.2,4.08,
532.4,4.057,
532.6,4.05,
532.8,4.07,
533,4.108,
533.2,4.056,
533.4,4.096,
533.6,4.094,
533.8,4.072,
534,4.101,
534.2,4.072,
534.4,4.057,
534.6,4.078,
534.8,4.06,
535,4.041,
535.2,4.051,
