装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,283,nm
蛍光開始波長:,350,nm
蛍光終了波長:,600,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
350,0.42,
350.2,0.416,
350.4,0.412,
350.6,0.407,
350.8,0.407,
351,0.404,
351.2,0.403,
351.4,0.402,
351.6,0.403,
351.8,0.405,
352,0.407,
352.2,0.407,
352.4,0.411,
352.6,0.409,
352.8,0.412,
353,0.408,
353.2,0.411,
353.4,0.412,
353.6,0.416,
353.8,0.416,
354,0.419,
354.2,0.419,
354.4,0.42,
354.6,0.419,
354.8,0.417,
355,0.419,
355.2,0.42,
355.4,0.42,
355.6,0.42,
355.8,0.418,
356,0.416,
356.2,0.419,
356.4,0.423,
356.6,0.426,
356.8,0.427,
357,0.429,
357.2,0.434,
357.4,0.435,
357.6,0.432,
357.8,0.434,
358,0.433,
358.2,0.432,
358.4,0.433,
358.6,0.437,
358.8,0.439,
359,0.439,
359.2,0.439,
359.4,0.439,
359.6,0.439,
359.8,0.44,
360,0.446,
360.2,0.444,
360.4,0.449,
360.6,0.451,
360.8,0.451,
361,0.45,
361.2,0.455,
361.4,0.46,
361.6,0.462,
361.8,0.467,
362,0.466,
362.2,0.466,
362.4,0.468,
362.6,0.467,
362.8,0.466,
363,0.471,
363.2,0.475,
363.4,0.477,
363.6,0.48,
363.8,0.485,
364,0.487,
364.2,0.485,
364.4,0.485,
364.6,0.49,
364.8,0.494,
365,0.495,
365.2,0.494,
365.4,0.498,
365.6,0.502,
365.8,0.504,
366,0.51,
366.2,0.513,
366.4,0.514,
366.6,0.513,
366.8,0.514,
367,0.519,
367.2,0.522,
367.4,0.527,
367.6,0.533,
367.8,0.544,
368,0.551,
368.2,0.557,
368.4,0.566,
368.6,0.571,
368.8,0.581,
369,0.592,
369.2,0.604,
369.4,0.611,
369.6,0.628,
369.8,0.643,
370,0.658,
370.2,0.675,
370.4,0.695,
370.6,0.716,
370.8,0.74,
371,0.764,
371.2,0.794,
371.4,0.827,
371.6,0.859,
371.8,0.894,
372,0.936,
372.2,0.982,
372.4,1.033,
372.6,1.089,
372.8,1.152,
373,1.215,
373.2,1.28,
373.4,1.347,
373.6,1.431,
373.8,1.51,
374,1.606,
374.2,1.709,
374.4,1.827,
374.6,1.945,
374.8,2.064,
375,2.189,
375.2,2.333,
375.4,2.486,
375.6,2.678,
375.8,2.879,
376,3.11,
376.2,3.367,
376.4,3.64,
376.6,3.935,
376.8,4.279,
377,4.652,
377.2,5.104,
377.4,5.608,
377.6,6.171,
377.8,6.773,
378,7.421,
378.2,8.107,
378.4,8.884,
378.6,9.691,
378.8,10.62,
379,11.58,
379.2,12.61,
379.4,13.67,
379.6,14.74,
379.8,15.81,
380,16.95,
380.2,18.08,
380.4,19.3,
380.6,20.48,
380.8,21.7,
381,22.86,
381.2,23.96,
381.4,25,
381.6,26.04,
381.8,26.98,
382,27.88,
382.2,28.65,
382.4,29.34,
382.6,29.92,
382.8,30.37,
383,30.71,
383.2,30.92,
383.4,31.02,
383.6,31,
