装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,345,nm
蛍光開始波長:,380,nm
蛍光終了波長:,550,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
380,23.11,
380.2,23.07,
380.4,23.01,
380.6,22.97,
380.8,22.9,
381,22.78,
381.2,22.63,
381.4,22.53,
381.6,22.45,
381.8,22.33,
382,22.21,
382.2,22.08,
382.4,21.89,
382.6,21.75,
382.8,21.66,
383,21.53,
383.2,21.37,
383.4,21.22,
383.6,21.1,
383.8,20.99,
384,20.88,
384.2,20.75,
384.4,20.66,
384.6,20.58,
384.8,20.48,
385,20.42,
385.2,20.31,
385.4,20.23,
385.6,20.16,
385.8,20.14,
386,20.08,
386.2,20.07,
386.4,20.01,
386.6,19.95,
386.8,19.9,
387,19.87,
387.2,19.83,
387.4,19.82,
387.6,19.87,
387.8,19.89,
388,19.9,
388.2,19.94,
388.4,19.97,
388.6,20.07,
388.8,20.15,
389,20.25,
389.2,20.35,
389.4,20.44,
389.6,20.55,
389.8,20.71,
390,20.86,
390.2,21,
390.4,21.19,
390.6,21.39,
390.8,21.57,
391,21.75,
391.2,22,
391.4,22.24,
391.6,22.5,
391.8,22.79,
392,23.09,
392.2,23.37,
392.4,23.68,
392.6,23.98,
392.8,24.25,
393,24.55,
393.2,24.84,
393.4,25.12,
393.6,25.42,
393.8,25.69,
394,25.95,
394.2,26.2,
394.4,26.49,
394.6,26.73,
394.8,26.96,
395,27.23,
395.2,27.53,
395.4,27.83,
395.6,28.07,
395.8,28.38,
396,28.71,
396.2,29.04,
396.4,29.41,
396.6,29.81,
396.8,30.26,
397,30.68,
397.2,31.14,
397.4,31.64,
397.6,32.24,
397.8,32.85,
398,33.6,
398.2,34.4,
398.4,35.35,
398.6,36.34,
398.8,37.42,
399,38.5,
399.2,39.7,
399.4,40.86,
399.6,42.27,
399.8,43.63,
400,45.16,
400.2,46.69,
400.4,48.29,
400.6,49.87,
400.8,51.63,
401,53.4,
401.2,55.44,
401.4,57.52,
401.6,59.64,
401.8,61.88,
402,64.17,
402.2,66.5,
402.4,69.02,
402.6,71.68,
402.8,74.62,
403,77.7,
403.2,80.87,
403.4,84.21,
403.6,87.56,
403.8,90.8,
404,94.32,
404.2,98,
404.4,102.2,
404.6,106.6,
404.8,111.2,
405,115.9,
405.2,120.6,
405.4,125.1,
405.6,129.9,
405.8,134.9,
406,140.4,
406.2,146,
406.4,151.8,
406.6,157.5,
406.8,163.2,
407,168.7,
407.2,174.5,
407.4,180.3,
407.6,186.5,
407.8,192.8,
408,199.2,
408.2,205.5,
408.4,211.7,
408.6,217.7,
408.8,224,
409,230.3,
409.2,236.8,
409.4,243.7,
409.6,250.3,
409.8,256.9,
410,263.5,
410.2,269.9,
410.4,276.2,
410.6,282.4,
410.8,289.1,
411,295.8,
411.2,302.5,
411.4,309.4,
411.6,316,
411.8,322.2,
412,328.8,
412.2,335.1,
412.4,341.9,
412.6,348.4,
412.8,355.2,
413,361.6,
413.2,367.7,
413.4,373.7,
413.6,379.8,
413.8,385.8,
414,391.8,
414.2,397.8,
414.4,403.7,
414.6,409.3,
414.8,414.8,
415,420.1,
415.2,425.4,
415.4,430.6,
415.6,435.9,
415.8,441.1,
416,446.5,
416.2,451.2,
416.4,455.6,
416.6,459.9,
416.8,464,
417,468,
417.2,472,
417.4,475.7,
417.6,479.5,
417.8,482.7,
418,486.1,
418.2,489.1,
418.4,491.9,
418.6,494.6,
418.8,497.4,
419,500.3,
419.2,502.7,
419.4,505.1,
419.6,507.2,
419.8,509,
420,510.8,
420.2,512.3,
420.4,513.4,
420.6,514.2,
420.8,515.1,
421,515.7,
421.2,516.1,
421.4,516.8,
421.6,517.4,
421.8,518,
422,518.3,
422.2,518.8,
422.4,518.8,
422.6,518.7,
422.8,518.5,
423,517.9,
423.2,517.4,
423.4,516.5,
423.6,515.2,
423.8,513.6,
424,511.9,
424.2,510,
424.4,508,
424.6,506,
424.8,503.6,
425,500.9,
425.2,498,
425.4,495.1,
425.6,492,
425.8,488.5,
426,484.6,
426.2,480.6,
426.4,476.3,
426.6,471.9,
426.8,466.8,
427,461.8,
427.2,456.6,
427.4,451.5,
427.6,445.8,
427.8,440.7,
428,435.3,
428.2,429.8,
428.4,423.6,
428.6,417.4,
428.8,411.2,
429,405.1,
429.2,398.8,
429.4,393,
429.6,386.7,
429.8,380.6,
430,373.7,
430.2,367.1,
430.4,360.2,
430.6,353.6,
430.8,346.9,
431,340.5,
431.2,333.9,
431.4,327.4,
431.6,320.8,
431.8,314.1,
432,307.6,
432.2,301.2,
432.4,295.1,
432.6,289.3,
432.8,283.3,
433,277.6,
433.2,271.5,
433.4,265.6,
433.6,259.7,
433.8,254.1,
434,248.7,
434.2,243.2,
434.4,237.8,
434.6,232.7,
434.8,227.1,
435,221.9,
435.2,216.5,
435.4,211.3,
435.6,206.5,
435.8,201.8,
436,197,
436.2,192.4,
436.4,187.7,
436.6,183.2,
436.8,178.6,
437,174.2,
437.2,169.8,
437.4,165.8,
437.6,161.8,
437.8,157.8,
438,153.8,
438.2,149.6,
438.4,145.6,
438.6,141.6,
