装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,283,nm
蛍光開始波長:,350,nm
蛍光終了波長:,600,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
350,0.678,
350.2,0.68,
350.4,0.678,
350.6,0.679,
350.8,0.676,
351,0.676,
351.2,0.672,
351.4,0.67,
351.6,0.665,
351.8,0.664,
352,0.664,
352.2,0.66,
352.4,0.654,
352.6,0.653,
352.8,0.65,
353,0.649,
353.2,0.646,
353.4,0.648,
353.6,0.647,
353.8,0.642,
354,0.638,
354.2,0.635,
354.4,0.63,
354.6,0.629,
354.8,0.633,
355,0.63,
355.2,0.625,
355.4,0.628,
355.6,0.623,
355.8,0.62,
356,0.617,
356.2,0.614,
356.4,0.61,
356.6,0.609,
356.8,0.606,
357,0.609,
357.2,0.606,
357.4,0.604,
357.6,0.604,
357.8,0.606,
358,0.598,
358.2,0.594,
358.4,0.596,
358.6,0.592,
358.8,0.586,
359,0.582,
359.2,0.58,
359.4,0.58,
359.6,0.579,
359.8,0.581,
360,0.576,
360.2,0.576,
360.4,0.574,
360.6,0.57,
360.8,0.569,
361,0.564,
361.2,0.562,
361.4,0.559,
361.6,0.556,
361.8,0.555,
362,0.554,
362.2,0.551,
362.4,0.547,
362.6,0.541,
362.8,0.541,
363,0.536,
363.2,0.537,
363.4,0.536,
363.6,0.535,
363.8,0.534,
364,0.533,
364.2,0.533,
364.4,0.53,
364.6,0.529,
364.8,0.528,
365,0.525,
365.2,0.521,
365.4,0.519,
365.6,0.52,
365.8,0.518,
366,0.519,
366.2,0.519,
366.4,0.518,
366.6,0.513,
366.8,0.511,
367,0.512,
367.2,0.509,
367.4,0.507,
367.6,0.505,
367.8,0.501,
368,0.498,
368.2,0.497,
368.4,0.497,
368.6,0.496,
368.8,0.501,
369,0.501,
369.2,0.494,
369.4,0.496,
369.6,0.497,
369.8,0.493,
370,0.491,
370.2,0.495,
370.4,0.496,
370.6,0.498,
370.8,0.494,
371,0.495,
371.2,0.494,
371.4,0.491,
371.6,0.492,
371.8,0.488,
372,0.49,
372.2,0.489,
372.4,0.488,
372.6,0.489,
372.8,0.491,
373,0.492,
373.2,0.49,
373.4,0.487,
373.6,0.49,
373.8,0.488,
374,0.487,
374.2,0.487,
374.4,0.488,
374.6,0.489,
374.8,0.489,
375,0.49,
375.2,0.489,
375.4,0.492,
375.6,0.492,
375.8,0.496,
376,0.497,
376.2,0.497,
376.4,0.497,
376.6,0.502,
376.8,0.505,
377,0.51,
377.2,0.516,
377.4,0.518,
377.6,0.528,
377.8,0.536,
378,0.544,
378.2,0.551,
378.4,0.559,
378.6,0.569,
378.8,0.574,
379,0.585,
379.2,0.595,
379.4,0.606,
379.6,0.618,
379.8,0.631,
380,0.647,
380.2,0.664,
380.4,0.673,
380.6,0.683,
380.8,0.692,
381,0.703,
381.2,0.715,
381.4,0.725,
381.6,0.737,
381.8,0.745,
382,0.75,
382.2,0.756,
382.4,0.765,
382.6,0.769,
382.8,0.77,
383,0.771,
383.2,0.77,
383.4,0.774,
383.6,0.775,
