
,t,E,I,assortment
,0.1,0.000623240019194782,5.73368649929762E-6,A
,0.2,0.00236765621230006,6.73909299075603E-6,A
,0.3,0.00444993656128645,7.5897709466517E-6,A
,0.4,0.00641767354682088,8.25770944356918E-6,A
,0.5,0.00854120030999184,8.90064518898726E-6,A
,0.6,0.0104025611653924,9.52417682856321E-6,A
,0.7,0.0124104656279087,1.01942243054509E-5,A
,0.8,0.0143373971804976,1.09033863991499E-5,A
,0.9,0.0163157433271408,1.16844791918993E-5,A
,1.0,0.0182441677898169,1.24819818884134E-5,A
,1.1,0.0203020535409451,1.33887883275747E-5,A
,1.2,0.0224093440920115,1.43805714324117E-5,A
,1.3,0.0244959685951471,1.53039572760463E-5,A
,1.4,0.0265115424990654,1.62056758999825E-5,A
,1.5,0.0284905061125755,1.70979537069798E-5,A
,1.6,0.0306127984076738,1.80173367261887E-5,A
,1.7,0.0325797609984875,1.89488623291254E-5,A
,1.8,0.0344424061477184,1.94927379488945E-5,A
,1.9,0.0364770106971264,2.02368441969156E-5,A
,2.0,0.0384858921170235,2.18756012618542E-5,A
,2.1,0.0405429191887379,2.28175986558199E-5,A
,2.2,0.0425125136971474,2.38568261265755E-5,A
,2.3,0.0445270501077175,2.48554330319166E-5,A
,2.4,0.0465216375887394,2.59891413152218E-5,A
,2.5,0.0484035648405552,2.66276877373457E-5,A
,2.6,0.0504821948707104,2.79167573899031E-5,A
,2.7,0.052540335804224,2.89169941097498E-5,A
,2.8,0.0545606017112732,2.99417916685343E-5,A
,2.9,0.056519340723753,3.09602189809084E-5,A
,3.0,0.0584487766027451,3.19645889103413E-5,A
,3.1,0.0605094991624355,3.29291820526123E-5,A
,3.2,0.0624816007912159,3.38706448674202E-5,A
,3.3,0.0645266994833946,3.48133258521557E-5,A
,3.4,0.0665316730737686,3.57440337538719E-5,A
,3.5,0.068555623292923,3.66386063396931E-5,A
,3.6,0.0706004872918129,3.74936498701572E-5,A
,3.7,0.0725458785891533,3.82696390151978E-5,A
,3.8,0.0745318904519081,3.89842242002487E-5,A
,3.9,0.0765505433082581,3.96580137312412E-5,A
,4.0,0.0785081088542938,4.02865260839462E-5,A
,4.1,0.0805585607886314,4.09103557467461E-5,A
,4.2,0.0825078710913658,4.15172837674618E-5,A
,4.3,0.0845491364598274,4.20679971575737E-5,A
,4.4,0.086610272526741,4.25680056214333E-5,A
,4.5,0.0885846689343452,4.29746322333813E-5,A
,4.6,0.0906248614192009,4.33161519467831E-5,A
,4.7,0.0927068367600441,4.36085499823093E-5,A
,4.8,0.0946967154741287,4.38211709260941E-5,A
,4.9,0.0967411324381828,4.39899526536465E-5,A
,5.0,0.0987116917967796,4.4099498540163E-5,A
,5.1,0.100662723183632,4.41504120826721E-5,A
,5.2,0.102778635919094,4.41727712750435E-5,A
,5.3,0.104789182543755,4.41357456147671E-5,A
,5.4,0.106744855642319,4.40590418875217E-5,A
,5.5,0.10885601490736,4.39440235495567E-5,A
,5.6,0.110780537128448,4.37886416912079E-5,A
,5.7,0.112839639186859,4.35853749513626E-5,A
,5.8,0.114794373512268,4.33802679181099E-5,A
,5.9,0.116830766201019,4.31313365697861E-5,A
,6.0,0.118850402534008,4.28643859922886E-5,A
,6.1,0.120801016688347,4.25691679120064E-5,A
,6.2,0.122841231524944,4.22378294169903E-5,A
,6.3,0.124827325344086,4.19326946139336E-5,A
,6.4,0.126850336790085,4.16006669402122E-5,A
,6.5,0.128854691982269,4.12419736385345E-5,A
,6.6,0.130892857909203,4.08920310437679E-5,A
,6.7,0.132881671190262,4.05079312622547E-5,A
,6.8,0.134854152798653,4.01516705751419E-5,A
,6.9,0.136922508478165,3.97762656211853E-5,A
,7.0,0.138894379138947,3.94016057252884E-5,A
,7.1,0.140899360179901,3.90194840729237E-5,A
,7.2,0.142867967486382,3.86423543095589E-5,A
,7.3,0.144867286086082,3.82677167654037E-5,A
,7.4,0.146860659122467,3.78960818052292E-5,A
,7.5,0.148942232131958,3.75371500849724E-5,A
,7.6,0.150844037532806,3.71519215404987E-5,A
,7.7,0.152867332100868,3.68056520819664E-5,A
,7.8,0.154919028282166,3.64549681544304E-5,A
,7.9,0.156886383891106,3.60993891954422E-5,A
,8.0,0.158888205885887,3.57616432011127E-5,A
,8.1,0.160895422101021,3.54207083582878E-5,A
,8.2,0.162892937660217,3.50926592946053E-5,A
,8.3,0.16491162776947,3.47672440111637E-5,A
,8.4,0.166920155286789,3.44506911933422E-5,A
,8.5,0.168849810957909,3.41322980821133E-5,A
,8.6,0.170873358845711,3.38299423456192E-5,A
,8.7,0.172876089811325,3.35080027580261E-5,A
,8.8,0.174933180212975,3.32356840372086E-5,A
,8.9,0.176942586898804,3.29592525959015E-5,A
,9.0,0.178955942392349,3.26672568917274E-5,A
,9.1,0.180929556488991,3.23912277817726E-5,A
,9.2,0.182877749204636,3.21215428411961E-5,A
,9.3,0.184932038187981,3.18617075681686E-5,A
,9.4,0.186858862638474,3.16009297966957E-5,A
,9.5,0.188939198851585,3.13542112708092E-5,A
,9.6,0.190875127911568,3.11020072549582E-5,A
,9.7,0.192908778786659,3.08604333549738E-5,A
,9.8,0.194910809397697,3.06269396096468E-5,A
,9.9,0.196961164474487,3.03931403905153E-5,A
,10.0,0.198808550834656,3.01586575806141E-5,A
,10.1,0.200829818844795,2.99394894391298E-5,A
,10.2,0.202888280153275,2.97265574336052E-5,A
,10.3,0.204831033945084,2.95136719942093E-5,A
