
,t,E,I,assortment
,0.1,0.000293617660645396,2.59318314492702E-5,A
,0.2,0.00236055324785411,2.75303889065981E-5,A
,0.3,0.00434107193723321,2.87976991385221E-5,A
,0.4,0.00634503923356533,3.00986729562283E-5,A
,0.5,0.00833270605653524,3.13410758972168E-5,A
,0.6,0.0104151759296656,3.25980000197887E-5,A
,0.7,0.0124554513022304,3.40647511184216E-5,A
,0.8,0.0143631706014276,3.50003056228161E-5,A
,0.9,0.0163830034434795,3.62217649817467E-5,A
,1.0,0.0183003935962915,3.74236442148685E-5,A
,1.1,0.0203589182347059,3.8626279681921E-5,A
,1.2,0.0222805012017488,3.98399233818054E-5,A
,1.3,0.0244155675172806,4.10755202174187E-5,A
,1.4,0.0264515224844217,4.23548929393291E-5,A
,1.5,0.028503056615591,4.3608047068119E-5,A
,1.6,0.0305612497031689,4.4839758425951E-5,A
,1.7,0.0326098650693893,4.60280627012253E-5,A
,1.8,0.0346998125314713,4.72409725189209E-5,A
,1.9,0.0367128551006317,4.84307110309601E-5,A
,2.0,0.0386938117444515,4.9634862691164E-5,A
,2.1,0.0407532304525375,5.08314296603203E-5,A
,2.2,0.0427200309932232,5.20504824817181E-5,A
,2.3,0.0447562299668789,5.32728098332882E-5,A
,2.4,0.0468275845050812,5.45052923262119E-5,A
,2.5,0.0487131401896477,5.57333528995514E-5,A
,2.6,0.0507755912840366,5.69817721843719E-5,A
,2.7,0.0526957474648952,5.82024119794369E-5,A
,2.8,0.054756335914135,5.9436209499836E-5,A
,2.9,0.0567161701619625,6.06418959796429E-5,A
,3.0,0.0587881878018379,6.18652068078518E-5,A
,3.1,0.0607727766036987,6.30592107772827E-5,A
,3.2,0.0627895370125771,6.42365887761116E-5,A
,3.3,0.0648550167679787,6.53800815343857E-5,A
,3.4,0.0667635872960091,6.65234699845314E-5,A
,3.5,0.0688086450099945,6.76214843988419E-5,A
,3.6,0.0707729458808899,6.87092542648315E-5,A
,3.7,0.0727083459496498,6.97320997714996E-5,A
,3.8,0.0747828334569931,7.07470253109932E-5,A
,3.9,0.0768521204590797,7.17004686594009E-5,A
,4.0,0.078949011862278,7.26184099912643E-5,A
,4.1,0.080845057964325,7.34832882881165E-5,A
,4.2,0.0828781425952911,7.43196830153465E-5,A
,4.3,0.0847857296466827,7.50566497445107E-5,A
,4.4,0.0868068709969521,7.58036747574806E-5,A
,4.5,0.0887516066431999,7.62977376580238E-5,A
,4.6,0.0908035188913345,7.70656615495682E-5,A
,4.7,0.0928720757365227,7.75570347905159E-5,A
,4.8,0.0947737619280815,7.80245810747147E-5,A
,4.9,0.0968198999762535,7.84369483590126E-5,A
,5.0,0.0987796187400818,7.88025930523872E-5,A
,5.1,0.100832149386406,7.9078771173954E-5,A
,5.2,0.102938607335091,7.93354213237762E-5,A
,5.3,0.104902230203152,7.95002281665802E-5,A
,5.4,0.106811627745628,7.9627625644207E-5,A
,5.5,0.108791276812553,7.96880945563316E-5,A
,5.6,0.110837079584599,7.97112211585045E-5,A
,5.7,0.112916305661201,7.96747133135796E-5,A
,5.8,0.114833950996399,7.96051993966103E-5,A
,5.9,0.116939723491669,7.94844999909401E-5,A
,6.0,0.118947170674801,7.9342357814312E-5,A
,6.1,0.120854049921036,7.91333615779877E-5,A
,6.2,0.122960910201073,7.89230763912201E-5,A
,6.3,0.124914847314358,7.86635428667068E-5,A
,6.4,0.126896128058434,7.83844515681267E-5,A
,6.5,0.128924757242203,7.80734345316887E-5,A
,6.6,0.130903795361519,7.77627229690552E-5,A
,6.7,0.132896393537521,7.74140134453773E-5,A
,6.8,0.134907767176628,7.708790153265E-5,A
,6.9,0.136875718832016,7.66939595341682E-5,A
,7.0,0.138937652111053,7.63350576162338E-5,A
,7.1,0.140950322151184,7.59456530213356E-5,A
,7.2,0.14290851354599,7.55617469549179E-5,A
,7.3,0.144844114780426,7.51665756106377E-5,A
,7.4,0.146947011351585,7.47852772474289E-5,A
,7.5,0.148959293961525,7.43879303336143E-5,A
,7.6,0.150991886854172,7.39997699856758E-5,A
,7.7,0.15288071334362,7.36010521650314E-5,A
,7.8,0.154943898320198,7.32264295220375E-5,A
,7.9,0.156992718577385,7.28372856974602E-5,A
,8.0,0.158918648958206,7.24577158689499E-5,A
,8.1,0.160921916365623,7.20814689993858E-5,A
,8.2,0.162942662835121,7.17239156365395E-5,A
,8.3,0.164950162172318,7.13617578148842E-5,A
,8.4,0.166894420981407,7.10067451000214E-5,A
,8.5,0.168907076120377,7.0658877491951E-5,A
,8.6,0.170943006873131,7.03244358301163E-5,A
,8.7,0.172918528318405,6.9988027215004E-5,A
,8.8,0.174950510263443,6.96694031357765E-5,A
,8.9,0.176932722330093,6.93523809313774E-5,A
,9.0,0.178887546062469,6.90441504120827E-5,A
