
,t,E,I,assortment
,0.1,-0.00171759899239987,-2.09607486613095E-6,C
,0.2,-0.00677030859515071,-2.38146283663809E-6,C
,0.3,-0.0117274224758148,-2.52843694761395E-6,C
,0.4,-0.0167057272046804,-2.65164230950177E-6,C
,0.5,-0.0217287577688694,-2.76403571479023E-6,C
,0.6,-0.0267682038247585,-2.873454708606E-6,C
,0.7,-0.0317081101238728,-2.98298918642104E-6,C
,0.8,-0.036727212369442,-3.10287950560451E-6,C
,0.9,-0.0417093224823475,-3.23046837002039E-6,C
,1.0,-0.0467092916369438,-3.36834671907127E-6,C
,1.1,-0.0517859160900116,-3.52428131736815E-6,C
,1.2,-0.0567670203745365,-3.68409836664796E-6,C
,1.3,-0.0616877265274525,-3.8506540004164E-6,C
,1.4,-0.0667767599225044,-4.04249923303723E-6,C
,1.5,-0.0717202052474022,-4.23343107104301E-6,C
,1.6,-0.0767055675387383,-4.44780848920345E-6,C
,1.7,-0.0817253366112709,-4.67280671000481E-6,C
,1.8,-0.0867772474884987,-4.91324067115784E-6,C
,1.9,-0.0917203724384308,-5.19709521904588E-6,C
,2.0,-0.0967273339629173,-5.4839332588017E-6,C
,2.1,-0.101681672036648,-5.82574168220162E-6,C
,2.2,-0.106707192957401,-6.15677749738097E-6,C
,2.3,-0.111742690205574,-6.54834788292646E-6,C
,2.4,-0.11666351556778,-6.94125192239881E-6,C
,2.5,-0.121709242463112,-7.37579306587577E-6,C
,2.6,-0.126659899950027,-7.85169657319784E-6,C
,2.7,-0.131680116057396,-8.35543591529131E-6,C
,2.8,-0.136731564998627,-8.91095586121082E-6,C
,2.9,-0.141674295067787,-9.46763344109058E-6,C
,3.0,-0.146653532981873,-1.0097598657012E-5,C
,3.1,-0.151695102453232,-1.07084847986698E-5,C
,3.2,-0.156680569052696,-1.13946301862597E-5,C
,3.3,-0.1617162078619,-1.20345382019877E-5,C
,3.4,-0.1666549295187,-1.27383908256888E-5,C
,3.5,-0.171752795577049,-1.33894337341189E-5,C
,3.6,-0.176670968532562,-1.40903359279037E-5,C
,3.7,-0.181687101721764,-1.47153390571475E-5,C
,3.8,-0.186692103743553,-1.54061364009976E-5,C
,3.9,-0.191753268241882,-1.5998013317585E-5,C
,4.0,-0.196702629327774,-1.66162177920341E-5,C
,4.1,-0.201697334647179,-1.72421168535948E-5,C
,4.2,-0.20666840672493,-1.77174415439367E-5,C
,4.3,-0.211664542555809,-1.83619968593121E-5,C
,4.4,-0.216728419065475,-1.87894254922867E-5,C
,4.5,-0.221724584698677,-1.93769354373217E-5,C
,4.6,-0.226688697934151,-1.97984296828508E-5,C
,4.7,-0.23173962533474,-2.03239098191261E-5,C
,4.8,-0.236669272184372,-2.07115523517132E-5,C
,4.9,-0.241584852337837,-2.12577078491449E-5,C
,5.0,-0.246641829609871,-2.15864572674036E-5,C
,5.1,-0.251655668020248,-2.21863426268101E-5,C
,5.2,-0.256776571273804,-2.24918927997351E-5,C
,5.3,-0.261654049158096,-2.30931956321001E-5,C
,5.4,-0.266700744628906,-2.34037730842829E-5,C
,5.5,-0.271685063838959,-2.40000002086163E-5,C
,5.6,-0.276683807373047,-2.43401248008013E-5,C
,5.7,-0.281707495450974,-2.49477401375771E-5,C
,5.8,-0.286785304546356,-2.53063831478357E-5,C
,5.9,-0.291678845882416,-2.59144511073828E-5,C
,6.0,-0.296682327985764,-2.62883845716715E-5,C
,6.1,-0.301630616188049,-2.6906855404377E-5,C
,6.2,-0.306710064411163,-2.73058004677296E-5,C
,6.3,-0.31174173951149,-2.79202330857515E-5,C
,6.4,-0.316679328680038,-2.83465348184109E-5,C
,6.5,-0.321700185537338,-2.8940225020051E-5,C
,6.6,-0.326647073030472,-2.94058956205845E-5,C
,6.7,-0.331730246543884,-2.99977865070105E-5,C
,6.8,-0.336668610572815,-3.05149909108877E-5,C
,6.9,-0.341654658317566,-3.11111714690924E-5,C
,7.0,-0.346715778112411,-3.16751338541508E-5,C
,7.1,-0.351672172546387,-3.22705619037151E-5,C
,7.2,-0.35669794678688,-3.2874871045351E-5,C
,7.3,-0.36172291636467,-3.34687083959579E-5,C
,7.4,-0.366640537977219,-3.40953804552555E-5,C
,7.5,-0.371739268302917,-3.46802249550819E-5,C
,7.6,-0.376641094684601,-3.53346914052963E-5,C
,7.7,-0.381722539663315,-3.59172523021698E-5,C
,7.8,-0.386700749397278,-3.65878567099571E-5,C
,7.9,-0.391674011945724,-3.71511019766331E-5,C
,8.0,-0.396662682294846,-3.78322377800941E-5,C
,8.1,-0.401718437671661,-3.83943952620029E-5,C
,8.2,-0.406687527894974,-3.90839502215385E-5,C
,8.3,-0.411715239286423,-3.96349094808102E-5,C
,8.4,-0.416695147752762,-4.03267778456211E-5,C
,8.5,-0.421725749969482,-4.08740751445293E-5,C
,8.6,-0.426713526248932,-4.15640585124493E-5,C
,8.7,-0.43169766664505,-4.2098980396986E-5,C
,8.8,-0.436741888523102,-4.27894666790962E-5,C
,8.9,-0.441678613424301,-4.33266833424568E-5,C
,9.0,-0.446712911128998,-4.40105497837067E-5,C
,9.1,-0.451658129692078,-4.45381440222263E-5,C
,9.2,-0.45669162273407,-4.52190861105919E-5,C
,9.3,-0.46168714761734,-4.57546673715115E-5,C
,9.4,-0.466624557971954,-4.64278012514114E-5,C
,9.5,-0.471634685993195,-4.69672568142414E-5,C
,9.6,-0.476642906665802,-4.76254187524319E-5,C
,9.7,-0.481657028198242,-4.81916777789593E-5,C
,9.8,-0.486750334501266,-4.88303937017918E-5,C
