
,t,E,I,assortment
,0.1,-0.00167754827998579,-2.05067940987647E-6,C
,0.2,-0.00675221020355821,-2.35281535424292E-6,C
,0.3,-0.0117773208767176,-2.51831603236496E-6,C
,0.4,-0.0167878214269876,-2.66688666306436E-6,C
,0.5,-0.0217557605355978,-2.79964134097099E-6,C
,0.6,-0.0267397966235876,-2.93910014443099E-6,C
,0.7,-0.0317609421908855,-3.08333104476333E-6,C
,0.8,-0.0367256179451942,-3.24674253351986E-6,C
,0.9,-0.0417588390409946,-3.42179369181395E-6,C
,1.0,-0.0466989688575268,-3.60717577859759E-6,C
,1.1,-0.0517470389604568,-3.82340443320572E-6,C
,1.2,-0.056771207600832,-4.0661240927875E-6,C
,1.3,-0.0616151951253414,-4.35205921530724E-6,C
,1.4,-0.0667047426104546,-4.68978052958846E-6,C
,1.5,-0.0717295557260513,-5.06116962060332E-6,C
,1.6,-0.076699286699295,-5.47595927491784E-6,C
,1.7,-0.0818020403385162,-5.95135102048516E-6,C
,1.8,-0.0865923017263412,-6.45719328895211E-6,C
,1.9,-0.0916863903403282,-7.05906469374895E-6,C
,2.0,-0.096747986972332,-7.74516444653273E-6,C
,2.1,-0.101719230413437,-8.51923506706953E-6,C
,2.2,-0.106684669852257,-9.36300400644541E-6,C
,2.3,-0.111665286123753,-1.03121921420097E-5,C
,2.4,-0.116733446717262,-1.13474633544683E-5,C
,2.5,-0.121687740087509,-1.24861113727093E-5,C
,2.6,-0.126675143837929,-1.37066692113876E-5,C
,2.7,-0.131708204746246,-1.50317987427115E-5,C
,2.8,-0.136713728308678,-1.64321847259998E-5,C
,2.9,-0.141659811139107,-1.79178304970264E-5,C
,3.0,-0.146619856357574,-1.94452162832022E-5,C
,3.1,-0.151656925678253,-2.10431162267923E-5,C
,3.2,-0.156620696187019,-2.26538777351379E-5,C
,3.3,-0.161702066659927,-2.43100933730602E-5,C
,3.4,-0.166668713092804,-2.59318202733994E-5,C
,3.5,-0.171665504574776,-2.75423154234886E-5,C
,3.6,-0.17670901119709,-2.91065834462643E-5,C
,3.7,-0.18166321516037,-3.06071247905493E-5,C
,3.8,-0.18665423989296,-3.20281349122524E-5,C
