
,t,E,I,assortment
,0.1,-0.00173264730256051,-1.22477253898978E-6,C
,0.2,-0.00673558516427875,-1.48603285197169E-6,C
,0.3,-0.0117391366511583,-1.61429145373404E-6,C
,0.4,-0.0167164653539658,-1.7015403136611E-6,C
,0.5,-0.0217589307576418,-1.77685811650008E-6,C
,0.6,-0.0267517361789942,-1.83060485869646E-6,C
,0.7,-0.0317432023584843,-1.87746889423579E-6,C
,0.8,-0.0367459803819656,-1.92049180623144E-6,C
,0.9,-0.0417286641895771,-1.95847824215889E-6,C
,1.0,-0.0466644391417503,-1.99937471188605E-6,C
,1.1,-0.0516951493918896,-2.03292164951563E-6,C
,1.2,-0.0567304417490959,-2.06403085030615E-6,C
,1.3,-0.0617338344454765,-2.09068064577878E-6,C
,1.4,-0.0667721033096313,-2.11665662936866E-6,C
,1.5,-0.0717420354485512,-2.15324922464788E-6,C
,1.6,-0.076702281832695,-2.19191936776042E-6,C
,1.7,-0.081757090985775,-2.21802014857531E-6,C
,1.8,-0.0867232978343964,-2.23907479085028E-6,C
,1.9,-0.091645210981369,-2.25423625670373E-6,C
,2.0,-0.0967122763395309,-2.28133308701217E-6,C
,2.1,-0.101709581911564,-2.31421366333961E-6,C
,2.2,-0.106710016727448,-2.33933562412858E-6,C
,2.3,-0.111699022352695,-2.37297522835433E-6,C
,2.4,-0.116639338433743,-2.40043457597494E-6,C
,2.5,-0.121640466153622,-2.43072770535946E-6,C
,2.6,-0.126691326498985,-2.46325717307627E-6,C
,2.7,-0.131717309355736,-2.49700271524489E-6,C
,2.8,-0.136694625020027,-2.52953940071166E-6,C
,2.9,-0.141728475689888,-2.56855436600745E-6,C
,3.0,-0.146673008799553,-2.59803747758269E-6,C
,3.1,-0.151716306805611,-2.64398381114006E-6,C
,3.2,-0.15671794116497,-2.68471497111022E-6,C
,3.3,-0.161772146821022,-2.73477961309254E-6,C
,3.4,-0.166667148470879,-2.77653778903186E-6,C
,3.5,-0.17173832654953,-2.83146393485367E-6,C
,3.6,-0.176725491881371,-2.88325687870383E-6,C
