
,t,E,I,assortment
,0.1,-0.00161819055210799,-2.7738397475332E-6,C
,0.2,-0.00667778868228197,-3.09053994715214E-6,C
,0.3,-0.0117515083402395,-3.26023832894862E-6,C
,0.4,-0.016710452735424,-3.40136559680104E-6,C
,0.5,-0.0217192228883505,-3.53737827390432E-6,C
,0.6,-0.0266887824982405,-3.67252994328737E-6,C
,0.7,-0.0317597202956676,-3.8178195245564E-6,C
,0.8,-0.0367055088281631,-3.97048285230994E-6,C
,0.9,-0.041822761297226,-4.14355425164104E-6,C
,1.0,-0.0466878078877926,-4.31410130113363E-6,C
,1.1,-0.0517276786267757,-4.51935408636928E-6,C
,1.2,-0.0567138865590096,-4.74112527444959E-6,C
,1.3,-0.0617396868765354,-4.99142054468393E-6,C
,1.4,-0.0666438043117523,-5.26083493605256E-6,C
,1.5,-0.0716781839728355,-5.57308318093419E-6,C
,1.6,-0.0766848921775818,-5.92194590717554E-6,C
,1.7,-0.0816208496689796,-6.31531793624163E-6,C
,1.8,-0.0867277085781097,-6.75571942701936E-6,C
,1.9,-0.0916733965277672,-7.24851619452238E-6,C
,2.0,-0.096683993935585,-7.80082261189818E-6,C
,2.1,-0.101664431393147,-8.41379165649414E-6,C
,2.2,-0.106680899858475,-9.09561756998301E-6,C
,2.3,-0.111678294837475,-9.84515808522701E-6,C
,2.4,-0.116691574454308,-1.06669357046485E-5,C
,2.5,-0.121651686728001,-1.15595469251275E-5,C
,2.6,-0.126667216420174,-1.25245377421379E-5,C
,2.7,-0.131649896502495,-1.35541567578912E-5,C
,2.8,-0.136692270636559,-1.46527774631977E-5,C
,2.9,-0.14160792529583,-1.58043522387743E-5,C
,3.0,-0.146667659282684,-1.70145891606808E-5,C
,3.1,-0.151610359549522,-1.82521734386683E-5,C
,3.2,-0.156676292419434,-1.95285119116306E-5,C
,3.3,-0.161638095974922,-2.0819989964366E-5,C
,3.4,-0.166652739048004,-2.21129916608334E-5,C
,3.5,-0.17164234817028,-2.33893990516663E-5,C
,3.6,-0.176637679338455,-2.46446467936039E-5,C
,3.7,-0.181673780083656,-2.586480230093E-5,C
,3.8,-0.186666160821915,-2.70320605486631E-5,C
,3.9,-0.191658079624176,-2.81411930918694E-5,C
,4.0,-0.196643874049187,-2.9171347618103E-5,C
,4.1,-0.20159837603569,-3.01293954253197E-5,C
,4.2,-0.206656977534294,-3.09954211115837E-5,C
,4.3,-0.211612090468407,-3.17798443138599E-5,C
,4.4,-0.216672196984291,-3.24963852763176E-5,C
