,t,E,I,assortment
,0.1,-0.00170364289078861,-3.0864265281707E-6,C
,0.2,-0.00671908352524042,-3.42559954151511E-6,C
,0.3,-0.0117429867386818,-3.59649769961834E-6,C
,0.4,-0.0167573820799589,-3.75334196723998E-6,C
,0.5,-0.0217330753803253,-3.89003404416144E-6,C
,0.6,-0.0266722105443478,-3.98302916437387E-6,C
,0.7,-0.031705517321825,-4.11423062905669E-6,C
,0.8,-0.036687333136797,-4.25981404259801E-6,C
,0.9,-0.0417098961770535,-4.43225679919124E-6,C
,1.0,-0.046732421964407,-4.63178567588329E-6,C
,1.1,-0.0516694970428944,-4.84441826120019E-6,C
,1.2,-0.0566875673830509,-5.09526487439871E-6,C
,1.3,-0.0617062300443649,-5.37205720320344E-6,C
,1.4,-0.0667100250720978,-5.66785503178835E-6,C
,1.5,-0.0716998055577278,-5.97788719460368E-6,C
,1.6,-0.0767496898770332,-6.27868808805943E-6,C
,1.7,-0.0817326083779335,-6.64908532053232E-6,C
,1.8,-0.0867219865322113,-7.09346309304237E-6,C
,1.9,-0.0917277783155441,-7.62810884043574E-6,C
,2.0,-0.0966852232813835,-8.22840910404921E-6,C
,2.1,-0.101764172315598,-8.89845285564661E-6,C
,2.2,-0.106724359095097,-9.61852818727493E-6,C
,2.3,-0.111709341406822,-1.04196164757013E-5,C
,2.4,-0.116654776036739,-1.13000515848398E-5,C
,2.5,-0.121707759797573,-1.22698871418834E-5,C
,2.6,-0.126676633954048,-1.33219575509429E-5,C
,2.7,-0.131671100854874,-1.44741348922253E-5,C
,2.8,-0.136727914214134,-1.57309081405401E-5,C
,2.9,-0.141662418842316,-1.70524716377258E-5,C
,3.0,-0.146774366497993,-1.84443444013596E-5,C
,3.1,-0.151678591966629,-1.98518969118595E-5,C
,3.2,-0.156678348779678,-2.13167797774076E-5,C
,3.3,-0.161687895655632,-2.28380169719458E-5,C
,3.4,-0.166734173893929,-2.43974663317204E-5,C
,3.5,-0.171621441841125,-2.59679816663265E-5,C
,3.6,-0.176709458231926,-2.75520905852318E-5,C
,3.7,-0.181666195392609,-2.91162133216858E-5,C
,3.8,-0.186596468091011,-3.06245405226946E-5,C
,3.9,-0.191685050725937,-3.20973470807076E-5,C
,4.0,-0.196618497371674,-3.34796421229839E-5,C
,4.1,-0.201602891087532,-3.47988530993462E-5,C
,4.2,-0.206692755222321,-3.6003652960062E-5,C
,4.3,-0.211682945489883,-3.71312908828259E-5,C
,4.4,-0.216630876064301,-3.81609760224819E-5,C
,4.5,-0.221606969833374,-3.91225665807724E-5,C
,4.6,-0.226679742336273,-3.9967205375433E-5,C
,4.7,-0.23167572915554,-4.07355241477489E-5,C
,4.8,-0.236649110913277,-4.14208173751831E-5,C
,4.9,-0.241666823625565,-4.2032778263092E-5,C
,5.0,-0.246604397892952,-4.25809696316719E-5,C
,5.1,-0.251652210950851,-4.30890396237373E-5,C
,5.2,-0.256647348403931,-4.35616038739681E-5,C
,5.3,-0.26172199845314,-4.40119132399559E-5,C
,5.4,-0.266658127307892,-4.44038771092892E-5,C
,5.5,-0.271741509437561,-4.48084101080894E-5,C
,5.6,-0.276609241962433,-4.51412871479988E-5,C
,5.7,-0.281612992286682,-4.55121621489525E-5,C
