10 mV/s,,,20 mV/s,,,50 mV/s,,,100 mV/s,
電位,電流,,電位,電流,,電位,電流,,電位,電流
0.000644091,5.09175E-09,,0.000937535,9.63553E-09,,0.001999311,2.34542E-08,,0.003842183,4.64512E-08
0.00158859,5.29417E-09,,0.00304072,1.00837E-08,,0.007127605,2.42769E-08,,0.013943386,4.78082E-08
0.002612605,5.2958E-09,,0.004942719,1.0003E-08,,0.012141358,2.42651E-08,,0.024052285,4.80144E-08
0.003607162,5.3132E-09,,0.006981147,1.00337E-08,,0.017078476,2.42522E-08,,0.033962995,4.79965E-08
0.004632391,5.28838E-09,,0.008956634,1.00089E-08,,0.022088019,2.43035E-08,,0.043983389,4.80163E-08
0.005595936,5.2945E-09,,0.010938069,1.00619E-08,,0.027113698,2.43293E-08,,0.053924054,4.80159E-08
0.006578782,5.27981E-09,,0.012921131,9.97892E-09,,0.032094214,2.42928E-08,,0.063969105,4.80007E-08
0.007625282,5.31528E-09,,0.014938517,1.00445E-08,,0.037048612,2.42797E-08,,0.073956937,4.8027E-08
0.008572232,5.24414E-09,,0.01698295,1.00603E-08,,0.042086001,2.43113E-08,,0.08392261,4.80227E-08
0.009608904,5.3389E-09,,0.018964546,1.00716E-08,,0.047126006,2.43251E-08,,0.093950376,4.80401E-08
0.010630247,5.30655E-09,,0.020973245,1.00506E-08,,0.052070022,2.42779E-08,,0.103900902,4.80448E-08
0.011636489,5.34163E-09,,0.022968078,1.00656E-08,,0.057083648,2.4298E-08,,0.113965616,4.80739E-08
0.012602472,5.31541E-09,,0.025011593,1.00455E-08,,0.062140826,2.43114E-08,,0.124047279,4.80736E-08
0.013600805,5.32176E-09,,0.026988108,1.00903E-08,,0.067060933,2.43113E-08,,0.133871883,4.79831E-08
0.014637104,5.32069E-09,,0.028946949,1.0035E-08,,0.072037578,2.42836E-08,,0.143965736,4.80697E-08
0.015569318,5.29302E-09,,0.03096031,1.00707E-08,,0.077105001,2.42837E-08,,0.15382345,4.8018E-08
0.01662604,5.28089E-09,,0.032941714,1.00167E-08,,0.082131073,2.43797E-08,,0.16393809,4.80665E-08
0.017600277,5.2989E-09,,0.034940239,1.0031E-08,,0.086999603,2.42852E-08,,0.173920587,4.8097E-08
0.018606238,5.27338E-09,,0.03693616,1.004E-08,,0.092098512,2.4302E-08,,0.183985233,4.81018E-08
0.019626735,5.33751E-09,,0.038960524,1.00664E-08,,0.097059987,2.42991E-08,,0.193924785,4.80752E-08
0.020585105,5.28448E-09,,0.041005943,1.0071E-08,,0.102112263,2.43395E-08,,0.203998283,4.81071E-08
0.02161061,5.30785E-09,,0.04301947,1.00905E-08,,0.107094213,2.43487E-08,,0.213893726,4.80532E-08
0.022561023,5.27026E-09,,0.044964056,1.00489E-08,,0.112100095,2.43139E-08,,0.224005774,4.8137E-08
0.023606751,5.31475E-09,,0.04697812,1.00917E-08,,0.117057331,2.42795E-08,,0.233920962,4.80667E-08
0.024608936,5.25789E-09,,0.04895065,1.00289E-08,,0.12208923,2.43288E-08,,0.243934602,4.80856E-08
0.025621373,5.3204E-09,,0.050970189,1.0058E-08,,0.12707828,2.43452E-08,,0.253899723,4.80881E-08
0.026589861,5.29048E-09,,0.052947946,1.00438E-08,,0.132036492,2.42824E-08,,0.263920665,4.81002E-08
0.027628308,5.30925E-09,,0.055008683,1.01016E-08,,0.137109205,2.42818E-08,,0.274035305,4.81667E-08
0.028597713,5.26806E-09,,0.056988094,1.00582E-08,,0.142067537,2.43068E-08,,0.28398785,4.81016E-08
0.029602319,5.32894E-09,,0.059016887,1.00976E-08,,0.147120923,2.43943E-08,,0.293996751,4.81521E-08
0.030588455,5.30065E-09,,0.060993832,1.00691E-08,,0.152093768,2.43085E-08,,0.303952634,4.81056E-08
0.031593125,5.30196E-09,,0.062990762,1.00574E-08,,0.157042325,2.42905E-08,,0.313892037,4.80951E-08
0.032593735,5.26256E-09,,0.065018915,1.00746E-08,,0.162097663,2.43563E-08,,0.32387954,4.80468E-08
0.033603523,5.30765E-09,,0.066973552,1.0051E-08,,0.167133793,2.43635E-08,,0.333986193,4.81219E-08
0.034617472,5.30256E-09,,0.069008537,1.00946E-08,,0.172117427,2.43159E-08,,0.343876898,4.80418E-08
0.035587706,5.30402E-09,,0.070970446,1.00557E-08,,0.177139804,2.43155E-08,,0.353987992,4.81364E-08
0.036621023,5.2997E-09,,0.072988853,1.0061E-08,,0.182125911,2.43423E-08,,0.363934517,4.81035E-08
0.037599292,5.32132E-09,,0.075000562,1.00875E-08,,0.187096938,2.43373E-08,,0.373987824,4.8155E-08
0.038601533,5.29216E-09,,0.07695435,1.00287E-08,,0.192067891,2.43206E-08,,0.383911431,4.80825E-08
0.039614093,5.31863E-09,,0.078965239,1.00504E-08,,0.197062626,2.4321E-08,,0.394068658,4.82124E-08
0.040629875,5.29239E-09,,0.080998927,1.00754E-08,,0.202085987,2.43172E-08,,0.403906316,4.80722E-08
0.041588899,5.29084E-09,,0.082969397,1.00649E-08,,0.207170844,2.4402E-08,,0.413981795,4.81298E-08
0.042606555,5.29475E-09,,0.084977791,1.00307E-08,,0.212155432,2.43467E-08,,0.424015194,4.81412E-08
0.043622173,5.32703E-09,,0.087031871,1.00948E-08,,0.217123181,2.43343E-08,,0.433981717,4.81219E-08
0.044607043,5.2752E-09,,0.089031555,1.00853E-08,,0.222188205,2.43716E-08,,0.443962216,4.80633E-08
0.045603674,5.32968E-09,,0.090972066,1.00767E-08,,0.227132112,2.43572E-08,,0.453996271,4.81428E-08
0.046606828,5.30684E-09,,0.092963479,1.0048E-08,,0.232091963,2.43271E-08,,0.464040279,4.81252E-08
0.047572449,5.28647E-09,,0.095014997,1.01233E-08,,0.237120539,2.42937E-08,,0.473979771,4.80968E-08
0.048686974,5.3107E-09,,0.097020634,1.0056E-08,,0.242252439,2.44128E-08,,0.484002143,4.81083E-08
0.049640309,5.33156E-09,,0.099012107,1.00744E-08,,0.247191861,2.44019E-08,,0.494054735,4.81426E-08
0.050608624,5.2918E-09,,0.101011463,1.00784E-08,,0.25207901,2.42991E-08,,0.496796161,-4.37631E-08
