200 mV/s,,,100 mV/s,,,50 mV/s,,,20 mV/s,
電圧,電流,,電圧,電流,,電圧,電流,,電圧,電流
0.201477587,-0.000169539,,0.200901508,-0.000111216,,0.20172435,-0.000103178,,0.200776964,-0.000108034
0.20370014,-0.000131948,,0.201482907,-9.12E-05,,0.206969395,-8.40E-05,,0.202909499,-9.93E-05
0.205537945,-0.000116561,,0.203120828,-8.20E-05,,0.209763139,-8.01E-05,,0.204960108,-9.57E-05
0.207824707,-0.000106149,,0.203196183,-8.01E-05,,0.209763139,-8.01E-05,,0.206794709,-9.30E-05
0.20948033,-9.90E-05,,0.203196183,-8.01E-05,,0.209763139,-8.01E-05,,0.20891957,-9.07E-05
0.211686343,-9.22E-05,,0.203196183,-8.01E-05,,0.227044463,-6.60E-05,,0.210888728,-8.87E-05
0.213530049,-8.69E-05,,0.203196183,-8.01E-05,,0.231974453,-6.33E-05,,0.212939531,-8.70E-05
0.215609178,-8.19E-05,,0.203196183,-8.01E-05,,0.237074122,-6.10E-05,,0.214891627,-8.55E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.241982743,-5.89E-05,,0.216962963,-8.42E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.247010857,-5.69E-05,,0.218934014,-8.29E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.252099693,-5.52E-05,,0.220925704,-8.19E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.256933421,-5.36E-05,,0.222927153,-8.08E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.262057513,-5.21E-05,,0.224683285,-8.00E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.267017663,-5.06E-05,,0.224683285,-8.00E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.272072315,-4.93E-05,,0.224683285,-8.00E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.277076364,-4.81E-05,,0.230900347,-7.77E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.282144845,-4.69E-05,,0.232938185,-7.71E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.287049025,-4.57E-05,,0.234972745,-7.64E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.292087495,-4.46E-05,,0.236890092,-7.58E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.297078818,-4.35E-05,,0.238972977,-7.51E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.302016944,-4.25E-05,,0.240969181,-7.46E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.307041764,-4.15E-05,,0.242938876,-7.39E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.312054694,-4.05E-05,,0.244956762,-7.34E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.316978693,-3.96E-05,,0.246869266,-7.29E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.322012693,-3.86E-05,,0.248908177,-7.24E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.327002972,-3.77E-05,,0.250981897,-7.18E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.332098156,-3.68E-05,,0.252863377,-7.14E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.337069929,-3.60E-05,,0.254955173,-7.08E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.342039973,-3.52E-05,,0.256997794,-7.04E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.347057045,-3.43E-05,,0.258972198,-6.99E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.35201773,-3.35E-05,,0.261042774,-6.95E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.356993049,-3.27E-05,,0.262976229,-6.90E-05
0.216555268,-8.00E-05,,0.203196183,-8.01E-05,,0.362051457,-3.19E-05,,0.264960408,-6.86E-05
0.216555268,-8.00E-05,,0.234008446,-3.62E-05,,0.367005974,-3.11E-05,,0.267018378,-6.81E-05
0.216555268,-8.00E-05,,0.23485817,-3.57E-05,,0.37202996,-3.04E-05,,0.268941641,-6.78E-05
0.216555268,-8.00E-05,,0.235960975,-3.50E-05,,0.377039939,-2.97E-05,,0.270983994,-6.73E-05
0.216555268,-8.00E-05,,0.236839905,-3.48E-05,,0.382021666,-2.90E-05,,0.27304098,-6.69E-05
0.216555268,-8.00E-05,,0.237993643,-3.40E-05,,0.387034386,-2.83E-05,,0.275046349,-6.64E-05
0.216555268,-8.00E-05,,0.238896474,-3.36E-05,,0.392006427,-2.76E-05,,0.276984423,-6.61E-05
0.279624641,-2.51E-05,,0.240023926,-3.29E-05,,0.397008747,-2.70E-05,,0.278911114,-6.57E-05
0.281754345,-2.43E-05,,0.241000488,-3.30E-05,,0.401991248,-2.63E-05,,0.280959666,-6.54E-05
0.283437818,-2.34E-05,,0.241840571,-3.24E-05,,0.406992674,-2.56E-05,,0.282982558,-6.49E-05
