;content of C:\Users\Bruker\AppData\Local\Temp\92fetmp-50337042.raw - (Diffrac Plus V4 file)
_FILEVERSION = 3
_SAMPLE = Commander Sample ID
_+SAMPLE
_USER = Lab Manager
_GONIOMETER_CODE = 21
_STAGE_CODE = 4
; Goniometer : D8 theta/theta, stage : Open eulerian craddle
_SAMPLE_CHANGER_CODE = 0
_ATTACHMENTS_CODE = 0
_GONIOMETER_RADIUS = 415
_MONOCHROMATOR = 0
; Incident beam monochromator : None
_BETA_FILTER = N
_ANALYZER_CODE = 0
; Received beam analyzer : None
_DATEMEASURED = 09-Dec-2020 13:42:57
_RUNTIME = 12.36928
_WL_UNIT = A
_WL1 = 1.5406
_WL2 = 1.54439
_WL3 = 1.39222
_WLRATIO = 0.5
_ANODE = Cu
_V4_INF_USER = Lab Manager
_V4_INF_SAMPLEID = Commander Sample ID
_V4_INF_CREATOR = V5Converter
_V4_INF_CREATOR_VERSION = 3.3.47.0
_V4_INF_SUBSTRATE = Si (no database)
_V4_INF_LAYER = Si (no database)

; Data for range 1
_DRIVE = COUPLED
_STEPTIME = 76.8
_STEPSIZE = 0.02026
_STEPMODE = C
_START = 20
_THETA = 9.9639
_2THETA = 20
_KHI = -0.25
_PHI = 0
_X = -10.255
_Y = -0.555
_Z = 0.7095
_DETECTORSLIT = out
_AUX2 = 0
_TIMESTARTED = 0
_KV = 40
_MA = 40
_RANGE_WL = 1.5406
_3DPLANE = 0
_V4_PSD2THETA = 9999
_V4_PSDCHANNEL1 = 0
_V4_PSDAPERTURE = 2.083855
_V4_PSDTYPE = 5
_V4_PSDFIXED = 0
_V4_COUNTERS_MASK = 1
_V4_DRIVES_MASK = 0
_V4_ENCODERS_MASK = 0
_2THETACOUNTS = 1
; 2THETA	Cnt2_D1	
20.000000	26.000000	
20.020260	24.000000	
20.040519	24.000000	
20.060779	25.000000	
20.081039	31.000000	
20.101299	17.000000	
20.121558	25.000000	
20.141818	16.000000	
20.162078	19.000000	
20.182337	19.000000	
20.202597	20.000000	
20.222857	15.000000	
20.243116	20.000000	
20.263376	20.000000	
20.283636	24.000000	
20.303896	17.000000	
20.324155	31.000000	
20.344415	27.000000	
20.364675	16.000000	
20.384934	15.000000	
20.405194	21.000000	
20.425454	17.000000	
20.445713	24.000000	
20.465973	15.000000	
20.486233	16.000000	
20.506493	18.000000	
20.526752	14.000000	
20.547012	22.000000	
20.567272	25.000000	
20.587531	15.000000	
20.607791	17.000000	
20.628051	33.000000	
20.648310	18.000000	
20.668570	12.000000	
20.688830	21.000000	
20.709090	27.000000	
20.729349	15.000000	
20.749609	24.000000	
20.769869	26.000000	
20.790128	28.000000	
20.810388	25.000000	
20.830648	23.000000	
20.850907	19.000000	
20.871167	21.000000	
20.891427	24.000000	
20.911687	20.000000	
20.931946	13.000000	
20.952206	14.000000	
20.972466	21.000000	
20.992725	15.000000	
21.012985	17.000000	
21.033245	21.000000	
21.053504	17.000000	
21.073764	17.000000	
21.094024	19.000000	
21.114284	20.000000	
21.134543	21.000000	
21.154803	18.000000	
21.175063	25.000000	
21.195322	16.000000	
21.215582	23.000000	
21.235842	16.000000	
21.256101	23.000000	
21.276361	18.000000	
21.296621	17.000000	
21.316881	16.000000	
21.337140	16.000000	
21.357400	17.000000	
21.377660	27.000000	
21.397919	12.000000	
21.418179	30.000000	
21.438439	19.000000	
21.458698	17.000000	
21.478958	26.000000	
21.499218	16.000000	
21.519478	21.000000	
21.539737	18.000000	
21.559997	20.000000	
21.580257	24.000000	
21.600516	27.000000	
21.620776	23.000000	
21.641036	19.000000	
21.661295	21.000000	
21.681555	20.000000	
21.701815	13.000000	
21.722075	19.000000	
21.742334	21.000000	
21.762594	17.000000	
21.782854	19.000000	
21.803113	17.000000	
21.823373	19.000000	
21.843633	18.000000	
21.863893	22.000000	
21.884152	22.000000	
21.904412	16.000000	
21.924672	24.000000	
21.944931	21.000000	
21.965191	19.000000	
21.985451	19.000000	
22.005710	22.000000	
22.025970	16.000000	
22.046230	29.000000	
22.066490	19.000000	
22.086749	24.000000	
22.107009	31.000000	
22.127269	28.000000	
22.147528	12.000000	
22.167788	22.000000	
22.188048	21.000000	
22.208307	15.000000	
22.228567	24.000000	
22.248827	20.000000	
22.269087	13.000000	
22.289346	17.000000	
22.309606	22.000000	
22.329866	17.000000	
22.350125	20.000000	
22.370385	16.000000	
22.390645	19.000000	
22.410904	22.000000	
22.431164	20.000000	
22.451424	24.000000	
22.471684	17.000000	
22.491943	18.000000	
22.512203	25.000000	
22.532463	22.000000	
22.552722	23.000000	
22.572982	21.000000	
22.593242	23.000000	
22.613501	23.000000	
22.633761	13.000000	
22.654021	20.000000	
22.674281	31.000000	
22.694540	23.000000	
22.714800	17.000000	
22.735060	14.000000	
22.755319	19.000000	
22.775579	18.000000	
22.795839	18.000000	
22.816098	25.000000	
22.836358	20.000000	
22.856618	17.000000	
22.876878	20.000000	
22.897137	18.000000	
22.917397	19.000000	
22.937657	15.000000	
22.957916	8.000000	
22.978176	20.000000	
22.998436	12.000000	
23.018695	22.000000	
23.038955	19.000000	
23.059215	14.000000	
23.079475	10.000000	
23.099734	19.000000	
23.119994	22.000000	
23.140254	23.000000	
23.160513	16.000000	
23.180773	13.000000	
23.201033	19.000000	
23.221292	21.000000	
23.241552	18.000000	
23.261812	15.000000	
23.282072	23.000000	
23.302331	17.000000	
23.322591	18.000000	
23.342851	13.000000	
23.363110	13.000000	
23.383370	23.000000	
23.403630	16.000000	
23.423890	23.000000	
23.444149	16.000000	
23.464409	15.000000	
23.484669	24.000000	
23.504928	18.000000	
23.525188	21.000000	
23.545448	23.000000	
23.565707	12.000000	
23.585967	19.000000	
23.606227	13.000000	
23.626487	21.000000	
23.646746	16.000000	
23.667006	13.000000	
23.687266	23.000000	
23.707525	19.000000	
23.727785	14.000000	
23.748045	15.000000	
23.768304	26.000000	
23.788564	16.000000	
23.808824	16.000000	
23.829084	13.000000	
23.849343	16.000000	
23.869603	11.000000	
23.889863	10.000000	
23.910122	17.000000	
23.930382	25.000000	
23.950642	19.000000	
23.970901	16.000000	
23.991161	17.000000	
24.011421	16.000000	
24.031681	13.000000	
24.051940	18.000000	
24.072200	10.000000	
24.092460	21.000000	
24.112719	21.000000	
24.132979	16.000000	
24.153239	21.000000	
24.173498	22.000000	
24.193758	20.000000	
24.214018	6.000000	
24.234278	20.000000	
24.254537	16.000000	
24.274797	22.000000	
24.295057	16.000000	
24.315316	15.000000	
24.335576	22.000000	
24.355836	17.000000	
24.376095	18.000000	
24.396355	18.000000	
