;content of C:\Users\Bruker\AppData\Local\Temp\92fetmp-49747219.raw - (Diffrac Plus V4 file)
_FILEVERSION = 3
_SAMPLE = Commander Sample ID
_+SAMPLE
_USER = Lab Manager
_GONIOMETER_CODE = 21
_STAGE_CODE = 4
; Goniometer : D8 theta/theta, stage : Open eulerian craddle
_SAMPLE_CHANGER_CODE = 0
_ATTACHMENTS_CODE = 0
_GONIOMETER_RADIUS = 415
_MONOCHROMATOR = 0
; Incident beam monochromator : None
_BETA_FILTER = N
_ANALYZER_CODE = 0
; Received beam analyzer : None
_DATEMEASURED = 09-Dec-2020 14:53:21
_RUNTIME = 12.37992
_WL_UNIT = A
_WL1 = 1.5406
_WL2 = 1.54439
_WL3 = 1.39222
_WLRATIO = 0.5
_ANODE = Cu
_V4_INF_USER = Lab Manager
_V4_INF_SAMPLEID = Commander Sample ID
_V4_INF_CREATOR = V5Converter
_V4_INF_CREATOR_VERSION = 3.3.47.0
_V4_INF_SUBSTRATE = Si (no database)
_V4_INF_LAYER = Si (no database)

; Data for range 1
_DRIVE = COUPLED
_STEPTIME = 76.8
_STEPSIZE = 0.02026
_STEPMODE = C
_START = 20
_THETA = 10
_2THETA = 20
_KHI = -0.45
_PHI = 0
_X = -13.384
_Y = 0
_Z = 0.674
_DETECTORSLIT = out
_AUX2 = 0
_TIMESTARTED = 0
_KV = 40
_MA = 40
_RANGE_WL = 1.5406
_3DPLANE = 0
_V4_PSD2THETA = 9999
_V4_PSDCHANNEL1 = 0
_V4_PSDAPERTURE = 2.083855
_V4_PSDTYPE = 5
_V4_PSDFIXED = 0
_V4_COUNTERS_MASK = 1
_V4_DRIVES_MASK = 0
_V4_ENCODERS_MASK = 0
_2THETACOUNTS = 1
; 2THETA	Cnt2_D1	
20.000000	21.000000	
20.020260	24.000000	
20.040519	35.000000	
20.060779	25.000000	
20.081039	21.000000	
20.101299	18.000000	
20.121558	22.000000	
20.141818	20.000000	
20.162078	23.000000	
20.182337	25.000000	
20.202597	21.000000	
20.222857	19.000000	
20.243116	31.000000	
20.263376	16.000000	
20.283636	21.000000	
20.303896	28.000000	
20.324155	23.000000	
20.344415	21.000000	
20.364675	20.000000	
20.384934	22.000000	
20.405194	18.000000	
20.425454	22.000000	
20.445713	23.000000	
20.465973	19.000000	
20.486233	18.000000	
20.506493	20.000000	
20.526752	24.000000	
20.547012	17.000000	
20.567272	21.000000	
20.587531	23.000000	
20.607791	15.000000	
20.628051	20.000000	
20.648310	21.000000	
20.668570	17.000000	
20.688830	25.000000	
20.709090	20.000000	
20.729349	24.000000	
20.749609	23.000000	
20.769869	12.000000	
20.790128	16.000000	
20.810388	21.000000	
20.830648	20.000000	
20.850907	18.000000	
20.871167	27.000000	
20.891427	22.000000	
20.911687	36.000000	
20.931946	23.000000	
20.952206	17.000000	
20.972466	22.000000	
20.992725	21.000000	
21.012985	20.000000	
21.033245	17.000000	
21.053504	30.000000	
21.073764	25.000000	
21.094024	17.000000	
21.114284	15.000000	
21.134543	28.000000	
21.154803	29.000000	
21.175063	18.000000	
21.195322	19.000000	
21.215582	19.000000	
21.235842	13.000000	
21.256101	21.000000	
21.276361	15.000000	
21.296621	27.000000	
21.316881	19.000000	
21.337140	24.000000	
21.357400	23.000000	
21.377660	27.000000	
21.397919	24.000000	
21.418179	19.000000	
21.438439	23.000000	
21.458698	13.000000	
21.478958	13.000000	
21.499218	26.000000	
21.519478	18.000000	
21.539737	21.000000	
21.559997	22.000000	
21.580257	19.000000	
21.600516	25.000000	
21.620776	28.000000	
21.641036	23.000000	
21.661295	23.000000	
21.681555	28.000000	
21.701815	39.000000	
21.722075	27.000000	
21.742334	19.000000	
21.762594	31.000000	
21.782854	33.000000	
21.803113	27.000000	
21.823373	27.000000	
21.843633	31.000000	
21.863893	26.000000	
21.884152	35.000000	
21.904412	38.000000	
21.924672	35.000000	
21.944931	34.000000	
21.965191	39.000000	
21.985451	43.000000	
22.005710	46.000000	
22.025970	35.000000	
22.046230	54.000000	
22.066490	59.000000	
22.086749	51.000000	
22.107009	48.000000	
22.127269	47.000000	
22.147528	61.000000	
22.167788	44.000000	
22.188048	55.000000	
22.208307	49.000000	
22.228567	48.000000	
22.248827	45.000000	
22.269087	42.000000	
22.289346	32.000000	
22.309606	46.000000	
22.329866	34.000000	
22.350125	28.000000	
22.370385	39.000000	
22.390645	37.000000	
22.410904	44.000000	
22.431164	32.000000	
22.451424	34.000000	
22.471684	38.000000	
22.491943	34.000000	
22.512203	40.000000	
22.532463	34.000000	
22.552722	34.000000	
22.572982	29.000000	
22.593242	36.000000	
22.613501	30.000000	
22.633761	23.000000	
22.654021	31.000000	
22.674281	30.000000	
22.694540	30.000000	
22.714800	28.000000	
