UV/Vis spectrum of ZnO thin film on Al2O3(0001),
,
Wavelength (nm),Absorbance (a.u.)
300,0.181
300.5,0.181
301,0.18
301.5,0.18
302,0.18
302.5,0.18
303,0.18
303.5,0.18
304,0.18
304.5,0.18
305,0.18
305.5,0.185
306,0.189
306.5,0.194
307,0.199
307.5,0.199
308,0.199
308.5,0.199
309,0.198
309.5,0.198
310,0.198
310.5,0.198
311,0.198
311.5,0.197
312,0.197
312.5,0.196
313,0.196
313.5,0.195
314,0.195
314.5,0.194
315,0.193
315.5,0.193
316,0.192
316.5,0.192
317,0.191
317.5,0.19
318,0.189
318.5,0.189
319,0.188
319.5,0.187
320,0.187
320.5,0.187
321,0.186
321.5,0.186
322,0.185
322.5,0.185
323,0.184
323.5,0.184
324,0.184
324.5,0.184
325,0.183
325.5,0.183
326,0.183
326.5,0.183
327,0.182
327.5,0.182
328,0.182
328.5,0.182
329,0.182
329.5,0.181
330,0.181
330.5,0.181
331,0.181
331.5,0.181
332,0.181
332.5,0.18
333,0.179
333.5,0.179
334,0.179
334.5,0.179
335,0.179
335.5,0.179
336,0.179
336.5,0.179
337,0.178
337.5,0.177
338,0.177
338.5,0.176
339,0.176
339.5,0.176
340,0.176
340.5,0.176
341,0.175
341.5,0.175
342,0.174
342.5,0.174
343,0.174
343.5,0.173
344,0.173
344.5,0.173
345,0.173
345.5,0.172
346,0.172
346.5,0.172
347,0.171
347.5,0.171
348,0.171
348.5,0.171
349,0.171
349.5,0.172
350,0.172
350.5,0.172
351,0.172
351.5,0.172
352,0.172
352.5,0.172
353,0.171
353.5,0.171
354,0.171
354.5,0.171
355,0.17
355.5,0.17
356,0.17
356.5,0.169
357,0.168
357.5,0.168
358,0.167
358.5,0.167
359,0.166
359.5,0.165
360,0.164
360.5,0.163
361,0.163
361.5,0.161
362,0.16
362.5,0.159
363,0.157
363.5,0.155
364,0.153
364.5,0.159
365,0.164
365.5,0.17
366,0.176
366.5,0.174
367,0.173
367.5,0.171
368,0.17
368.5,0.168
369,0.166
369.5,0.165
370,0.163
370.5,0.161
371,0.159
371.5,0.156
372,0.154
372.5,0.151
373,0.149
373.5,0.146
374,0.144
374.5,0.141
375,0.139
375.5,0.137
376,0.134
376.5,0.131
377,0.129
377.5,0.126
378,0.124
378.5,0.122
379,0.12
379.5,0.118
380,0.116
380.5,0.115
381,0.113
381.5,0.111
382,0.11
382.5,0.108
383,0.107
383.5,0.106
384,0.104
384.5,0.102
385,0.101
385.5,0.1
386,0.099
386.5,0.099
387,0.098
387.5,0.097
388,0.097
388.5,0.096
389,0.095
389.5,0.094
390,0.094
390.5,0.093
391,0.092
391.5,0.091
392,0.09
392.5,0.09
393,0.09
393.5,0.089
394,0.089
394.5,0.089
395,0.089
395.5,0.088
396,0.088
396.5,0.087
397,0.087
397.5,0.086
398,0.086
398.5,0.086
399,0.086
399.5,0.086
400,0.086
400.5,0.085
401,0.085
401.5,0.084
402,0.083
402.5,0.083
403,0.083
403.5,0.083
404,0.083
404.5,0.083
405,0.082
405.5,0.082
406,0.083
406.5,0.083
407,0.082
407.5,0.082
408,0.082
408.5,0.081
409,0.081
409.5,0.081
410,0.08
410.5,0.08
411,0.08
411.5,0.08
412,0.08
412.5,0.08
413,0.08
413.5,0.079
414,0.079
414.5,0.079
415,0.079
415.5,0.079
416,0.081
416.5,0.082
417,0.084
417.5,0.085
418,0.085
418.5,0.085
419,0.084
419.5,0.084
420,0.085
420.5,0.084
421,0.085
421.5,0.085
422,0.084
422.5,0.084
423,0.084
423.5,0.083
424,0.083
424.5,0.083
425,0.083
425.5,0.083
426,0.083
426.5,0.083
427,0.083
427.5,0.083
428,0.082
428.5,0.082
429,0.082
429.5,0.082
430,0.082
430.5,0.082
431,0.083
431.5,0.083
432,0.082
432.5,0.082
433,0.083
433.5,0.083
434,0.083
434.5,0.083
435,0.082
435.5,0.082
436,0.081
436.5,0.081
437,0.081
437.5,0.081
438,0.082
438.5,0.082
439,0.082
439.5,0.082
440,0.081
440.5,0.081
441,0.08
441.5,0.08
442,0.08
442.5,0.08
443,0.08
443.5,0.08
444,0.08
444.5,0.08
445,0.08
445.5,0.08
446,0.08
446.5,0.08
447,0.08
447.5,0.08
448,0.08
448.5,0.08
449,0.08
449.5,0.08
450,0.08
450.5,0.08
451,0.08
451.5,0.08
452,0.08
