time(sec.) 	 T(degreeC.) 	 Q(W.) 
0 	 17.859000 	 45.000000 
1 	 17.878000 	 45.000000 
2 	 17.898000 	 45.000000 
3 	 17.907000 	 45.000000 
4 	 17.924000 	 45.000000 
5 	 17.944000 	 45.000000 
6 	 17.960000 	 45.000000 
7 	 17.980000 	 45.000000 
8 	 17.989000 	 45.000000 
9 	 18.002000 	 45.000000 
10 	 18.012000 	 45.000000 
11 	 18.023000 	 45.000000 
12 	 18.035000 	 45.000000 
13 	 18.057000 	 45.000000 
14 	 18.071000 	 45.000000 
15 	 18.083000 	 45.000000 
16 	 18.118000 	 45.000000 
17 	 18.136000 	 45.000000 
18 	 18.166000 	 45.000000 
19 	 18.181000 	 45.000000 
20 	 18.205000 	 45.000000 
21 	 18.217000 	 45.000000 
22 	 18.218000 	 45.000000 
23 	 18.235000 	 45.000000 
24 	 18.258000 	 45.000000 
25 	 18.285000 	 45.000000 
26 	 18.297000 	 45.000000 
27 	 18.334000 	 45.000000 
28 	 18.399000 	 45.000000 
29 	 18.418000 	 45.000000 
30 	 18.442000 	 45.000000 
31 	 18.444000 	 45.000000 
32 	 18.464000 	 45.000000 
33 	 18.515000 	 45.000000 
34 	 18.521000 	 45.000000 
35 	 18.527000 	 45.000000 
36 	 18.538000 	 45.000000 
37 	 18.559000 	 45.000000 
38 	 18.586000 	 45.000000 
39 	 18.628000 	 45.000000 
40 	 18.645000 	 45.000000 
41 	 18.655000 	 45.000000 
42 	 18.684000 	 45.000000 
43 	 18.746000 	 45.000000 
44 	 18.773000 	 45.000000 
45 	 18.776000 	 45.000000 
46 	 18.809000 	 45.000000 
47 	 18.836000 	 45.000000 
48 	 18.845000 	 45.000000 
49 	 18.851000 	 45.000000 
50 	 18.891000 	 45.000000 
51 	 18.901000 	 45.000000 
52 	 18.946000 	 45.000000 
53 	 18.965000 	 45.000000 
54 	 18.971000 	 45.000000 
55 	 18.986000 	 45.000000 
56 	 18.996000 	 45.000000 
57 	 19.014000 	 45.000000 
58 	 19.026000 	 45.000000 
59 	 19.087000 	 45.000000 
60 	 19.151000 	 45.000000 
61 	 19.219000 	 45.000000 
62 	 19.238000 	 45.000000 
63 	 19.273000 	 45.000000 
64 	 19.305000 	 45.000000 
65 	 19.350000 	 45.000000 
66 	 19.357000 	 45.000000 
67 	 19.328000 	 45.000000 
68 	 19.342000 	 45.000000 
69 	 19.370000 	 45.000000 
70 	 19.381000 	 45.000000 
71 	 19.381000 	 45.000000 
72 	 19.392000 	 45.000000 
73 	 19.404000 	 45.000000 
74 	 19.446000 	 45.000000 
75 	 19.502000 	 45.000000 
76 	 19.521000 	 45.000000 
77 	 19.563000 	 45.000000 
78 	 19.589000 	 45.000000 
79 	 19.610000 	 45.000000 
80 	 19.604000 	 45.000000 
81 	 19.632000 	 45.000000 
82 	 19.658000 	 45.000000 
83 	 19.687000 	 45.000000 
84 	 19.700000 	 45.000000 
85 	 19.688000 	 45.000000 
86 	 19.720000 	 45.000000 
87 	 19.759000 	 45.000000 
88 	 19.808000 	 45.000000 
89 	 19.879000 	 45.000000 
90 	 19.931000 	 45.000000 
91 	 19.984000 	 45.000000 
92 	 19.990000 	 45.000000 
93 	 20.020000 	 45.000000 
94 	 20.012000 	 45.000000 
95 	 20.057000 	 45.000000 
96 	 20.058000 	 45.000000 
97 	 20.050000 	 45.000000 
98 	 20.068000 	 45.000000 
99 	 20.110000 	 45.000000 
100 	 20.154000 	 45.000000 
101 	 20.180000 	 45.000000 
102 	 20.162000 	 45.000000 
103 	 20.162000 	 45.000000 
104 	 20.232000 	 45.000000 
105 	 20.327000 	 45.000000 
106 	 20.362000 	 45.000000 
107 	 20.394000 	 45.000000 
108 	 20.381000 	 45.000000 
109 	 20.405000 	 45.000000 
110 	 20.423000 	 45.000000 
111 	 20.444000 	 45.000000 
112 	 20.489000 	 45.000000 
113 	 20.526000 	 45.000000 
114 	 20.587000 	 45.000000 
115 	 20.587000 	 45.000000 
116 	 20.619000 	 45.000000 
117 	 20.622000 	 45.000000 
118 	 20.656000 	 45.000000 
119 	 20.703000 	 45.000000 
120 	 20.714000 	 45.000000 
121 	 20.741000 	 45.000000 
122 	 20.755000 	 45.000000 
123 	 20.778000 	 45.000000 
124 	 20.786000 	 45.000000 
125 	 20.801000 	 45.000000 
126 	 20.820000 	 45.000000 
127 	 20.845000 	 45.000000 
128 	 20.899000 	 45.000000 
129 	 20.919000 	 45.000000 
130 	 20.959000 	 45.000000 
131 	 20.962000 	 45.000000 
132 	 20.967000 	 45.000000 
133 	 20.954000 	 45.000000 
134 	 20.959000 	 45.000000 
135 	 20.993000 	 45.000000 
136 	 21.050000 	 45.000000 
137 	 21.137000 	 45.000000 
138 	 21.177000 	 45.000000 
139 	 21.211000 	 45.000000 
140 	 21.257000 	 45.000000 
141 	 21.274000 	 45.000000 
142 	 21.345000 	 45.000000 
143 	 21.323000 	 45.000000 
144 	 21.322000 	 45.000000 
145 	 21.324000 	 45.000000 
146 	 21.339000 	 45.000000 
147 	 21.383000 	 45.000000 
148 	 21.431000 	 45.000000 
149 	 21.446000 	 45.000000 
150 	 21.421000 	 45.000000 
151 	 21.411000 	 45.000000 
152 	 21.431000 	 45.000000 
153 	 21.439000 	 45.000000 
154 	 21.519000 	 45.000000 
155 	 21.550000 	 45.000000 
156 	 21.581000 	 45.000000 
157 	 21.564000 	 45.000000 
158 	 21.564000 	 45.000000 
159 	 21.540000 	 45.000000 
160 	 21.511000 	 45.000000 
161 	 21.554000 	 45.000000 
162 	 21.606000 	 45.000000 
163 	 21.611000 	 45.000000 
164 	 21.619000 	 45.000000 
165 	 21.654000 	 45.000000 
166 	 21.657000 	 45.000000 
167 	 21.662000 	 45.000000 
168 	 21.663000 	 45.000000 
169 	 21.719000 	 45.000000 
170 	 21.768000 	 45.000000 
171 	 21.776000 	 45.000000 
172 	 21.772000 	 45.000000 
173 	 21.797000 	 45.000000 
174 	 21.836000 	 45.000000 
175 	 21.892000 	 45.000000 
176 	 21.897000 	 45.000000 
177 	 21.918000 	 45.000000 
178 	 21.931000 	 45.000000 
179 	 21.957000 	 45.000000 
180 	 21.935000 	 45.000000 
181 	 21.940000 	 45.000000 
182 	 21.974000 	 45.000000 
183 	 22.033000 	 45.000000 
184 	 22.115000 	 45.000000 
185 	 22.143000 	 45.000000 
186 	 22.187000 	 45.000000 
187 	 22.177000 	 45.000000 
188 	 22.159000 	 45.000000 
189 	 22.184000 	 45.000000 
190 	 22.175000 	 45.000000 
191 	 22.191000 	 45.000000 
192 	 22.247000 	 45.000000 
193 	 22.252000 	 45.000000 
194 	 22.339000 	 45.000000 
195 	 22.377000 	 45.000000 
196 	 22.388000 	 45.000000 
197 	 22.380000 	 45.000000 
198 	 22.348000 	 45.000000 
199 	 22.352000 	 45.000000 
200 	 22.390000 	 45.000000 
201 	 22.376000 	 45.000000 
202 	 22.430000 	 45.000000 
203 	 22.476000 	 45.000000 
204 	 22.496000 	 45.000000 
205 	 22.510000 	 45.000000 
206 	 22.523000 	 45.000000 
207 	 22.517000 	 45.000000 
208 	 22.517000 	 45.000000 
209 	 22.559000 	 45.000000 
210 	 22.540000 	 45.000000 
211 	 22.578000 	 45.000000 
212 	 22.606000 	 45.000000 
213 	 22.621000 	 45.000000 
214 	 22.664000 	 45.000000 
215 	 22.684000 	 45.000000 
216 	 22.728000 	 45.000000 
217 	 22.761000 	 45.000000 
218 	 22.779000 	 45.000000 
219 	 22.807000 	 45.000000 
220 	 22.822000 	 45.000000 
221 	 22.783000 	 45.000000 
222 	 22.788000 	 45.000000 
223 	 22.847000 	 45.000000 
224 	 22.873000 	 45.000000 
225 	 22.938000 	 45.000000 
226 	 22.939000 	 45.000000 
227 	 22.994000 	 45.000000 
228 	 22.998000 	 45.000000 
229 	 23.035000 	 45.000000 
230 	 23.037000 	 45.000000 
231 	 23.040000 	 45.000000 
232 	 23.046000 	 45.000000 
233 	 23.049000 	 45.000000 
234 	 23.095000 	 45.000000 
235 	 23.156000 	 45.000000 
236 	 23.224000 	 45.000000 
237 	 23.231000 	 45.000000 
238 	 23.175000 	 45.000000 
239 	 23.151000 	 45.000000 
240 	 23.190000 	 45.000000 
241 	 23.231000 	 45.000000 
242 	 23.243000 	 45.000000 
243 	 23.301000 	 45.000000 
244 	 23.337000 	 45.000000 
245 	 23.326000 	 45.000000 
246 	 23.301000 	 45.000000 
247 	 23.283000 	 45.000000 
248 	 23.322000 	 45.000000 
249 	 23.333000 	 45.000000 
250 	 23.375000 	 45.000000 
251 	 23.444000 	 45.000000 
252 	 23.483000 	 45.000000 
253 	 23.491000 	 45.000000 
254 	 23.480000 	 45.000000 
255 	 23.448000 	 45.000000 
256 	 23.395000 	 45.000000 
257 	 23.392000 	 45.000000 
258 	 23.488000 	 45.000000 
259 	 23.521000 	 45.000000 
260 	 23.520000 	 45.000000 
261 	 23.537000 	 45.000000 
262 	 23.551000 	 45.000000 
263 	 23.624000 	 45.000000 
264 	 23.666000 	 45.000000 
265 	 23.690000 	 45.000000 
266 	 23.654000 	 45.000000 
267 	 23.650000 	 45.000000 
268 	 23.655000 	 45.000000 
269 	 23.692000 	 45.000000 
270 	 23.715000 	 45.000000 
