,v[l/min],v[m3/s],u[m/s],ΔP[kPa],ΔP[Pa],log u,logΔP,層高さ[cm]
固定層,20,0.000333333,0.042441318,0.41,410,-3.159632906,6.01615716,10
,30,0.0005,0.063661977,0.62,620,-2.754167798,6.429719478,10
,40,0.000666667,0.084882636,0.85,850,-2.466485726,6.745236349,10
,50,0.000833333,0.106103295,1.08,1080,-2.243342175,6.98471632,10
,60,0.001,0.127323954,1.28,1280,-2.061020618,7.154615357,10
遷移域,65,0.001083333,0.137934284,1.34,1340,-1.98097791,7.200424893,10
,70,0.001166667,0.148544614,1.42,1420,-1.906869938,7.258412151,10.1
,75,0.00125,0.159154943,1.43,1430,-1.837877066,7.265429723,10.3
,80,0.001333333,0.169765273,1.44,1440,-1.773338545,7.272398393,10.3
,85,0.001416667,0.180375602,1.46,1460,-1.712713923,7.286191715,10.5
流動層,90,0.0015,0.190985932,1.47,1470,-1.65555551,7.29301768,10.5
,95,0.001583333,0.201596261,1.47,1470,-1.601488288,7.29301768,10.6
,100,0.001666667,0.212206591,1.47,1470,-1.550194994,7.29301768,10.8
,105 ,0.00175,0.22281692,1.48,1480,-1.50140483,7.299797367,11
,110,0.001833333,0.23342725,1.48,1480,-1.454884814,7.299797367,11
,120,0.002,0.254647909,1.48,1480,-1.367873437,7.299797367,11.3
,131,0.002183333,0.277990634,1.48,1480,-1.280167857,7.299797367,11.5
,140,0.002333333,0.297089227,1.46,1460,-1.213722757,7.286191715,11.5
,150,0.0025,0.318309886,1.46,1460,-1.144729886,7.286191715,12
,155,0.002583333,0.328920216,1.45,1450,-1.111940063,7.279318835,12
,160,0.002666667,0.339530545,1.44,1440,-1.080191365,7.272398393,12.1
,165,0.00275,0.350140875,1.44,1440,-1.049419706,7.272398393,12.3
帰り,138,0.0023,0.292845095,1.46,1460,-1.228111495,7.286191715,11.4
,128,0.002133333,0.271624436,1.48,1480,-1.303334916,7.299797367,11.2
,120,0.002,0.254647909,1.47,1470,-1.367873437,7.29301768,11
,110,0.001833333,0.23342725,1.46,1460,-1.454884814,7.286191715,10.7
,99,0.00165,0.210084525,1.46,1460,-1.56024533,7.286191715,10.8
,93,0.00155,0.197352129,1.45,1450,-1.622765687,7.279318835,10.5
,90,0.0015,0.190985932,1.44,1440,-1.65555551,7.272398393,10.4
,85,0.001416667,0.180375602,1.43,1430,-1.712713923,7.265429723,10.3
固定層,80,0.001333333,0.169765273,1.4,1400,-1.773338545,7.244227516,10.2
,74,0.001233333,0.157032877,1.38,1380,-1.851300087,7.229838778,10
,67,0.001116667,0.142178416,1.31,1310,-1.950672561,7.177782416,10
,59,0.000983333,0.125201889,1.28,1280,-2.077827736,7.154615357,10
,48,0.0008,0.101859164,0.94,940,-2.284164169,6.845879875,10
,40,0.000666667,0.084882636,0.79,790,-2.466485726,6.672032945,10
,30,0.0005,0.063661977,0.58,580,-2.754167798,6.363028104,10
,20,0.000333333,0.042441318,0.38,380,-3.159632906,5.940171253,10
