time(sec.) 	 T(degreeC.) 	 Q(W.) 
0 	 28.909000 	 100.000000 
1 	 28.904000 	 100.000000 
2 	 28.883000 	 100.000000 
3 	 28.860000 	 100.000000 
4 	 28.817000 	 100.000000 
5 	 28.830000 	 100.000000 
6 	 28.898000 	 100.000000 
7 	 28.836000 	 100.000000 
8 	 28.789000 	 100.000000 
9 	 28.718000 	 100.000000 
10 	 28.640000 	 100.000000 
11 	 28.597000 	 100.000000 
12 	 28.577000 	 100.000000 
13 	 28.590000 	 100.000000 
14 	 28.610000 	 100.000000 
15 	 28.603000 	 100.000000 
16 	 28.630000 	 100.000000 
17 	 28.615000 	 100.000000 
18 	 28.553000 	 100.000000 
19 	 28.552000 	 100.000000 
20 	 28.562000 	 100.000000 
21 	 28.584000 	 100.000000 
22 	 28.613000 	 100.000000 
23 	 28.628000 	 100.000000 
24 	 28.630000 	 100.000000 
25 	 28.643000 	 100.000000 
26 	 28.669000 	 100.000000 
27 	 28.653000 	 100.000000 
28 	 28.662000 	 100.000000 
29 	 28.670000 	 100.000000 
30 	 28.707000 	 100.000000 
31 	 28.714000 	 100.000000 
32 	 28.722000 	 100.000000 
33 	 28.738000 	 100.000000 
34 	 28.757000 	 100.000000 
35 	 28.760000 	 100.000000 
36 	 28.815000 	 100.000000 
37 	 28.852000 	 100.000000 
38 	 28.894000 	 100.000000 
39 	 28.948000 	 100.000000 
40 	 28.967000 	 100.000000 
41 	 28.978000 	 100.000000 
42 	 29.040000 	 100.000000 
43 	 29.070000 	 100.000000 
44 	 29.123000 	 100.000000 
45 	 29.149000 	 100.000000 
46 	 29.195000 	 100.000000 
47 	 29.208000 	 100.000000 
48 	 29.245000 	 100.000000 
49 	 29.279000 	 100.000000 
50 	 29.283000 	 100.000000 
51 	 29.295000 	 100.000000 
52 	 29.362000 	 100.000000 
53 	 29.412000 	 100.000000 
54 	 29.466000 	 100.000000 
55 	 29.501000 	 100.000000 
56 	 29.530000 	 100.000000 
57 	 29.571000 	 100.000000 
58 	 29.614000 	 100.000000 
59 	 29.695000 	 100.000000 
60 	 29.749000 	 100.000000 
61 	 29.781000 	 100.000000 
62 	 29.879000 	 100.000000 
63 	 29.902000 	 100.000000 
64 	 29.884000 	 100.000000 
65 	 29.894000 	 100.000000 
66 	 29.942000 	 100.000000 
67 	 29.962000 	 100.000000 
68 	 30.071000 	 100.000000 
69 	 30.078000 	 100.000000 
70 	 30.061000 	 100.000000 
71 	 30.134000 	 100.000000 
72 	 30.210000 	 100.000000 
73 	 30.296000 	 100.000000 
74 	 30.353000 	 100.000000 
75 	 30.410000 	 100.000000 
76 	 30.496000 	 100.000000 
77 	 30.577000 	 100.000000 
78 	 30.670000 	 100.000000 
79 	 30.742000 	 100.000000 
80 	 30.767000 	 100.000000 
81 	 30.779000 	 100.000000 
82 	 30.790000 	 100.000000 
83 	 30.762000 	 100.000000 
84 	 30.761000 	 100.000000 
85 	 30.881000 	 100.000000 
86 	 30.937000 	 100.000000 
87 	 31.023000 	 100.000000 
88 	 31.013000 	 100.000000 
89 	 31.009000 	 100.000000 
90 	 31.057000 	 100.000000 
91 	 31.088000 	 100.000000 
92 	 31.130000 	 100.000000 
93 	 31.108000 	 100.000000 
94 	 31.128000 	 100.000000 
95 	 31.155000 	 100.000000 
96 	 31.209000 	 100.000000 
97 	 31.186000 	 100.000000 
98 	 31.231000 	 100.000000 
99 	 31.390000 	 100.000000 
100 	 31.532000 	 100.000000 
101 	 31.619000 	 100.000000 
102 	 31.675000 	 100.000000 
103 	 31.720000 	 100.000000 
104 	 31.703000 	 100.000000 
105 	 31.744000 	 100.000000 
106 	 31.788000 	 100.000000 
107 	 31.827000 	 100.000000 
108 	 31.824000 	 100.000000 
109 	 31.845000 	 100.000000 
110 	 31.825000 	 100.000000 
111 	 31.855000 	 100.000000 
112 	 31.904000 	 100.000000 
113 	 32.042000 	 100.000000 
114 	 32.199000 	 100.000000 
115 	 32.306000 	 100.000000 
116 	 32.367000 	 100.000000 
117 	 32.331000 	 100.000000 
118 	 32.338000 	 100.000000 
119 	 32.386000 	 100.000000 
120 	 32.401000 	 100.000000 
121 	 32.408000 	 100.000000 
122 	 32.428000 	 100.000000 
123 	 32.400000 	 100.000000 
124 	 32.440000 	 100.000000 
125 	 32.424000 	 100.000000 
126 	 32.489000 	 100.000000 
127 	 32.592000 	 100.000000 
128 	 32.880000 	 100.000000 
129 	 32.934000 	 100.000000 
130 	 33.008000 	 100.000000 
131 	 33.019000 	 100.000000 
132 	 33.039000 	 100.000000 
133 	 32.987000 	 100.000000 
134 	 33.005000 	 100.000000 
135 	 33.043000 	 100.000000 
136 	 33.056000 	 100.000000 
137 	 33.153000 	 100.000000 
138 	 33.203000 	 100.000000 
139 	 33.277000 	 100.000000 
140 	 33.247000 	 100.000000 
141 	 33.210000 	 100.000000 
142 	 33.293000 	 100.000000 
143 	 33.326000 	 100.000000 
144 	 33.330000 	 100.000000 
145 	 33.312000 	 100.000000 
146 	 33.345000 	 100.000000 
147 	 33.353000 	 100.000000 
148 	 33.379000 	 100.000000 
149 	 33.437000 	 100.000000 
150 	 33.498000 	 100.000000 
151 	 33.570000 	 100.000000 
152 	 33.783000 	 100.000000 
153 	 33.819000 	 100.000000 
154 	 33.866000 	 100.000000 
155 	 33.823000 	 100.000000 
156 	 33.812000 	 100.000000 
157 	 33.885000 	 100.000000 
158 	 33.905000 	 100.000000 
159 	 33.867000 	 100.000000 
160 	 33.896000 	 100.000000 
161 	 33.985000 	 100.000000 
162 	 34.069000 	 100.000000 
163 	 34.142000 	 100.000000 
