time(sec.) 	 T(degreeC.) 	 Q(W.) 
0 	 29.492000 	 100.000000 
1 	 29.483000 	 100.000000 
2 	 29.394000 	 100.000000 
3 	 29.355000 	 100.000000 
4 	 29.356000 	 100.000000 
5 	 29.346000 	 100.000000 
6 	 29.371000 	 100.000000 
7 	 29.331000 	 100.000000 
8 	 29.308000 	 100.000000 
9 	 29.270000 	 100.000000 
10 	 29.281000 	 100.000000 
11 	 29.303000 	 100.000000 
12 	 29.322000 	 100.000000 
13 	 29.307000 	 100.000000 
14 	 29.308000 	 100.000000 
15 	 29.322000 	 100.000000 
16 	 29.312000 	 100.000000 
17 	 29.266000 	 100.000000 
18 	 29.244000 	 100.000000 
19 	 29.196000 	 100.000000 
20 	 29.250000 	 100.000000 
21 	 29.231000 	 100.000000 
22 	 29.193000 	 100.000000 
23 	 29.144000 	 100.000000 
24 	 29.214000 	 100.000000 
25 	 29.248000 	 100.000000 
26 	 29.275000 	 100.000000 
27 	 29.259000 	 100.000000 
28 	 29.293000 	 100.000000 
29 	 29.252000 	 100.000000 
30 	 29.284000 	 100.000000 
31 	 29.304000 	 100.000000 
32 	 29.291000 	 100.000000 
33 	 29.271000 	 100.000000 
34 	 29.278000 	 100.000000 
35 	 29.284000 	 100.000000 
36 	 29.333000 	 100.000000 
37 	 29.369000 	 100.000000 
38 	 29.389000 	 100.000000 
39 	 29.412000 	 100.000000 
40 	 29.481000 	 100.000000 
41 	 29.522000 	 100.000000 
42 	 29.534000 	 100.000000 
43 	 29.533000 	 100.000000 
44 	 29.548000 	 100.000000 
45 	 29.575000 	 100.000000 
46 	 29.606000 	 100.000000 
47 	 29.605000 	 100.000000 
48 	 29.629000 	 100.000000 
49 	 29.676000 	 100.000000 
50 	 29.651000 	 100.000000 
51 	 29.691000 	 100.000000 
52 	 29.775000 	 100.000000 
53 	 29.860000 	 100.000000 
54 	 29.908000 	 100.000000 
55 	 29.928000 	 100.000000 
56 	 29.984000 	 100.000000 
57 	 30.002000 	 100.000000 
58 	 29.952000 	 100.000000 
59 	 29.959000 	 100.000000 
60 	 30.003000 	 100.000000 
61 	 30.080000 	 100.000000 
62 	 30.128000 	 100.000000 
63 	 30.209000 	 100.000000 
64 	 30.176000 	 100.000000 
65 	 30.211000 	 100.000000 
66 	 30.226000 	 100.000000 
67 	 30.233000 	 100.000000 
68 	 30.222000 	 100.000000 
69 	 30.208000 	 100.000000 
70 	 30.366000 	 100.000000 
71 	 30.393000 	 100.000000 
72 	 30.503000 	 100.000000 
73 	 30.549000 	 100.000000 
74 	 30.602000 	 100.000000 
75 	 30.634000 	 100.000000 
76 	 30.672000 	 100.000000 
77 	 30.723000 	 100.000000 
78 	 30.778000 	 100.000000 
79 	 30.814000 	 100.000000 
80 	 30.887000 	 100.000000 
81 	 30.997000 	 100.000000 
82 	 31.092000 	 100.000000 
83 	 31.158000 	 100.000000 
84 	 31.112000 	 100.000000 
85 	 31.086000 	 100.000000 
86 	 31.233000 	 100.000000 
87 	 31.316000 	 100.000000 
88 	 31.319000 	 100.000000 
89 	 31.351000 	 100.000000 
90 	 31.416000 	 100.000000 
91 	 31.489000 	 100.000000 
92 	 31.589000 	 100.000000 
93 	 31.605000 	 100.000000 
94 	 31.593000 	 100.000000 
95 	 31.576000 	 100.000000 
96 	 31.536000 	 100.000000 
97 	 31.593000 	 100.000000 
98 	 31.615000 	 100.000000 
99 	 31.605000 	 100.000000 
100 	 31.679000 	 100.000000 
101 	 31.649000 	 100.000000 
102 	 31.656000 	 100.000000 
103 	 31.743000 	 100.000000 
104 	 31.777000 	 100.000000 
105 	 31.886000 	 100.000000 
106 	 32.074000 	 100.000000 
107 	 32.210000 	 100.000000 
108 	 32.307000 	 100.000000 
109 	 32.400000 	 100.000000 
110 	 32.382000 	 100.000000 
111 	 32.399000 	 100.000000 
112 	 32.381000 	 100.000000 
113 	 32.368000 	 100.000000 
114 	 32.276000 	 100.000000 
115 	 32.410000 	 100.000000 
116 	 32.490000 	 100.000000 
117 	 32.519000 	 100.000000 
118 	 32.520000 	 100.000000 
119 	 32.723000 	 100.000000 
120 	 32.886000 	 100.000000 
121 	 32.953000 	 100.000000 
122 	 32.940000 	 100.000000 
123 	 32.978000 	 100.000000 
124 	 33.064000 	 100.000000 
125 	 33.092000 	 100.000000 
126 	 33.141000 	 100.000000 
127 	 33.144000 	 100.000000 
128 	 33.084000 	 100.000000 
129 	 33.047000 	 100.000000 
130 	 33.120000 	 100.000000 
131 	 33.293000 	 100.000000 
132 	 33.269000 	 100.000000 
133 	 33.291000 	 100.000000 
134 	 33.291000 	 100.000000 
135 	 33.246000 	 100.000000 
136 	 33.217000 	 100.000000 
137 	 33.251000 	 100.000000 
138 	 33.328000 	 100.000000 
139 	 33.429000 	 100.000000 
140 	 33.415000 	 100.000000 
141 	 33.449000 	 100.000000 
142 	 33.546000 	 100.000000 
143 	 33.611000 	 100.000000 
144 	 33.615000 	 100.000000 
145 	 33.626000 	 100.000000 
146 	 33.621000 	 100.000000 
147 	 33.585000 	 100.000000 
148 	 33.561000 	 100.000000 
149 	 33.569000 	 100.000000 
150 	 33.627000 	 100.000000 
151 	 33.621000 	 100.000000 
152 	 33.642000 	 100.000000 
153 	 33.701000 	 100.000000 
154 	 33.765000 	 100.000000 
155 	 33.768000 	 100.000000 
156 	 33.780000 	 100.000000 
157 	 33.885000 	 100.000000 
158 	 33.938000 	 100.000000 
159 	 34.042000 	 100.000000 
160 	 34.130000 	 100.000000 
161 	 34.157000 	 100.000000 
162 	 34.134000 	 100.000000 
163 	 34.108000 	 100.000000 
164 	 34.126000 	 100.000000 
165 	 34.145000 	 100.000000 
166 	 34.242000 	 100.000000 
167 	 34.273000 	 100.000000 
168 	 34.292000 	 100.000000 
169 	 34.258000 	 100.000000 
170 	 34.281000 	 100.000000 
171 	 34.357000 	 100.000000 
172 	 34.444000 	 100.000000 
173 	 34.477000 	 100.000000 
174 	 34.544000 	 100.000000 
175 	 34.574000 	 100.000000 
176 	 34.559000 	 100.000000 
177 	 34.702000 	 100.000000 
178 	 34.789000 	 100.000000 
179 	 34.875000 	 100.000000 
180 	 34.878000 	 100.000000 
181 	 34.841000 	 100.000000 
182 	 34.922000 	 100.000000 
183 	 35.034000 	 100.000000 
184 	 35.069000 	 100.000000 
185 	 34.993000 	 100.000000 
186 	 34.955000 	 100.000000 
187 	 35.119000 	 100.000000 
188 	 35.134000 	 100.000000 
189 	 35.125000 	 100.000000 
190 	 35.134000 	 100.000000 
191 	 35.093000 	 100.000000 
192 	 35.056000 	 100.000000 
193 	 35.146000 	 100.000000 
194 	 35.202000 	 100.000000 
195 	 35.242000 	 100.000000 
196 	 35.185000 	 100.000000 
197 	 35.276000 	 100.000000 
198 	 35.214000 	 100.000000 
199 	 35.137000 	 100.000000 
200 	 35.098000 	 100.000000 
201 	 35.202000 	 100.000000 
202 	 35.312000 	 100.000000 
203 	 35.385000 	 100.000000 
204 	 35.392000 	 100.000000 
205 	 35.390000 	 100.000000 
206 	 35.432000 	 100.000000 
207 	 35.460000 	 100.000000 
208 	 35.429000 	 100.000000 
209 	 35.474000 	 100.000000 
210 	 35.618000 	 100.000000 
211 	 35.746000 	 100.000000 
212 	 35.922000 	 100.000000 
213 	 35.999000 	 100.000000 
214 	 36.038000 	 100.000000 
215 	 35.990000 	 100.000000 
216 	 36.038000 	 100.000000 
217 	 36.079000 	 100.000000 
218 	 36.084000 	 100.000000 
219 	 36.084000 	 100.000000 
220 	 36.055000 	 100.000000 
221 	 36.048000 	 100.000000 
222 	 36.041000 	 100.000000 
223 	 36.080000 	 100.000000 
224 	 36.104000 	 100.000000 
225 	 36.177000 	 100.000000 
226 	 36.198000 	 100.000000 
227 	 36.208000 	 100.000000 
228 	 36.252000 	 100.000000 
229 	 36.292000 	 100.000000 
230 	 36.299000 	 100.000000 
231 	 36.311000 	 100.000000 
232 	 36.365000 	 100.000000 
233 	 36.462000 	 100.000000 
234 	 36.559000 	 100.000000 
235 	 36.663000 	 100.000000 
236 	 36.721000 	 100.000000 
237 	 36.616000 	 100.000000 
238 	 36.683000 	 100.000000 
239 	 36.848000 	 100.000000 
240 	 36.907000 	 100.000000 
241 	 36.890000 	 100.000000 
242 	 36.934000 	 100.000000 
243 	 37.006000 	 100.000000 
244 	 37.054000 	 100.000000 
245 	 37.011000 	 100.000000 
246 	 37.015000 	 100.000000 
247 	 37.136000 	 100.000000 
248 	 37.231000 	 100.000000 
249 	 37.263000 	 100.000000 
250 	 37.210000 	 100.000000 
251 	 37.117000 	 100.000000 
