time(sec.) 	 T(degreeC.) 	 Q(W.) 
0 	 19.212000 	 100.000000 
1 	 19.160000 	 100.000000 
2 	 19.186000 	 100.000000 
3 	 19.208000 	 100.000000 
4 	 19.203000 	 100.000000 
5 	 19.158000 	 100.000000 
6 	 19.128000 	 100.000000 
7 	 19.142000 	 100.000000 
8 	 19.135000 	 100.000000 
9 	 19.115000 	 100.000000 
10 	 19.106000 	 100.000000 
11 	 19.094000 	 100.000000 
12 	 19.091000 	 100.000000 
13 	 19.103000 	 100.000000 
14 	 19.129000 	 100.000000 
15 	 19.126000 	 100.000000 
16 	 19.124000 	 100.000000 
17 	 19.136000 	 100.000000 
18 	 19.141000 	 100.000000 
19 	 19.159000 	 100.000000 
20 	 19.175000 	 100.000000 
21 	 19.203000 	 100.000000 
22 	 19.216000 	 100.000000 
23 	 19.246000 	 100.000000 
24 	 19.391000 	 100.000000 
25 	 19.437000 	 100.000000 
26 	 19.465000 	 100.000000 
27 	 19.494000 	 100.000000 
28 	 19.517000 	 100.000000 
29 	 19.547000 	 100.000000 
30 	 19.575000 	 100.000000 
31 	 19.588000 	 100.000000 
32 	 19.588000 	 100.000000 
33 	 19.606000 	 100.000000 
34 	 19.634000 	 100.000000 
35 	 19.659000 	 100.000000 
36 	 19.706000 	 100.000000 
37 	 19.743000 	 100.000000 
38 	 19.762000 	 100.000000 
39 	 19.759000 	 100.000000 
40 	 19.805000 	 100.000000 
41 	 19.838000 	 100.000000 
42 	 19.911000 	 100.000000 
43 	 19.985000 	 100.000000 
44 	 20.022000 	 100.000000 
45 	 20.044000 	 100.000000 
46 	 20.053000 	 100.000000 
47 	 20.086000 	 100.000000 
48 	 20.123000 	 100.000000 
49 	 20.193000 	 100.000000 
50 	 20.274000 	 100.000000 
51 	 20.316000 	 100.000000 
52 	 20.365000 	 100.000000 
53 	 20.401000 	 100.000000 
54 	 20.440000 	 100.000000 
55 	 20.478000 	 100.000000 
56 	 20.537000 	 100.000000 
57 	 20.600000 	 100.000000 
58 	 20.669000 	 100.000000 
59 	 20.706000 	 100.000000 
60 	 20.760000 	 100.000000 
61 	 20.816000 	 100.000000 
62 	 20.933000 	 100.000000 
63 	 21.025000 	 100.000000 
64 	 21.135000 	 100.000000 
65 	 21.203000 	 100.000000 
66 	 21.269000 	 100.000000 
67 	 21.267000 	 100.000000 
68 	 21.311000 	 100.000000 
69 	 21.418000 	 100.000000 
70 	 21.488000 	 100.000000 
71 	 21.538000 	 100.000000 
72 	 21.556000 	 100.000000 
73 	 21.644000 	 100.000000 
74 	 21.666000 	 100.000000 
75 	 21.736000 	 100.000000 
76 	 21.816000 	 100.000000 
77 	 21.821000 	 100.000000 
78 	 21.882000 	 100.000000 
79 	 21.930000 	 100.000000 
80 	 22.015000 	 100.000000 
81 	 22.160000 	 100.000000 
82 	 22.248000 	 100.000000 
83 	 22.398000 	 100.000000 
84 	 22.544000 	 100.000000 
85 	 22.614000 	 100.000000 
86 	 22.677000 	 100.000000 
87 	 22.689000 	 100.000000 
88 	 22.718000 	 100.000000 
89 	 22.777000 	 100.000000 
90 	 22.756000 	 100.000000 
91 	 22.790000 	 100.000000 
92 	 22.891000 	 100.000000 
93 	 22.988000 	 100.000000 
94 	 23.097000 	 100.000000 
95 	 23.131000 	 100.000000 
96 	 23.150000 	 100.000000 
97 	 23.181000 	 100.000000 
98 	 23.230000 	 100.000000 
99 	 23.269000 	 100.000000 
100 	 23.307000 	 100.000000 
101 	 23.334000 	 100.000000 
102 	 23.440000 	 100.000000 
103 	 23.554000 	 100.000000 
104 	 23.603000 	 100.000000 
105 	 23.636000 	 100.000000 
106 	 23.656000 	 100.000000 
107 	 23.663000 	 100.000000 
108 	 23.821000 	 100.000000 
109 	 23.950000 	 100.000000 
110 	 24.030000 	 100.000000 
111 	 24.097000 	 100.000000 
112 	 24.130000 	 100.000000 
113 	 24.123000 	 100.000000 
114 	 24.102000 	 100.000000 
115 	 24.085000 	 100.000000 
116 	 24.152000 	 100.000000 
117 	 24.173000 	 100.000000 
118 	 24.218000 	 100.000000 
119 	 24.235000 	 100.000000 
120 	 24.354000 	 100.000000 
121 	 24.409000 	 100.000000 
122 	 24.507000 	 100.000000 
123 	 24.521000 	 100.000000 
124 	 24.561000 	 100.000000 
125 	 24.639000 	 100.000000 
126 	 24.664000 	 100.000000 
127 	 24.721000 	 100.000000 
128 	 24.799000 	 100.000000 
129 	 24.988000 	 100.000000 
130 	 25.093000 	 100.000000 
131 	 25.184000 	 100.000000 
132 	 25.263000 	 100.000000 
133 	 25.307000 	 100.000000 
134 	 25.386000 	 100.000000 
135 	 25.433000 	 100.000000 
136 	 25.439000 	 100.000000 
137 	 25.475000 	 100.000000 
138 	 25.525000 	 100.000000 
139 	 25.557000 	 100.000000 
140 	 25.632000 	 100.000000 
141 	 25.789000 	 100.000000 
142 	 25.866000 	 100.000000 
143 	 25.881000 	 100.000000 
144 	 25.863000 	 100.000000 
145 	 25.866000 	 100.000000 
146 	 25.855000 	 100.000000 
147 	 25.905000 	 100.000000 
148 	 25.895000 	 100.000000 
149 	 25.851000 	 100.000000 
150 	 26.018000 	 100.000000 
151 	 26.126000 	 100.000000 
152 	 26.195000 	 100.000000 
153 	 26.173000 	 100.000000 
154 	 26.228000 	 100.000000 
155 	 26.234000 	 100.000000 
156 	 26.354000 	 100.000000 
157 	 26.421000 	 100.000000 
158 	 26.499000 	 100.000000 
159 	 26.545000 	 100.000000 
160 	 26.615000 	 100.000000 
161 	 26.737000 	 100.000000 
162 	 26.764000 	 100.000000 
163 	 26.790000 	 100.000000 
164 	 26.734000 	 100.000000 
165 	 26.727000 	 100.000000 
166 	 26.800000 	 100.000000 
167 	 26.846000 	 100.000000 
168 	 26.884000 	 100.000000 
169 	 26.911000 	 100.000000 
170 	 26.981000 	 100.000000 
171 	 27.108000 	 100.000000 
172 	 27.209000 	 100.000000 
173 	 27.198000 	 100.000000 
174 	 27.262000 	 100.000000 
175 	 27.328000 	 100.000000 
176 	 27.344000 	 100.000000 
177 	 27.429000 	 100.000000 
178 	 27.532000 	 100.000000 
179 	 27.592000 	 100.000000 
180 	 27.661000 	 100.000000 
181 	 27.712000 	 100.000000 
182 	 27.733000 	 100.000000 
183 	 27.709000 	 100.000000 
184 	 27.762000 	 100.000000 
185 	 27.841000 	 100.000000 
186 	 27.837000 	 100.000000 
187 	 27.932000 	 100.000000 
188 	 28.059000 	 100.000000 
189 	 28.170000 	 100.000000 
190 	 28.160000 	 100.000000 
191 	 28.165000 	 100.000000 
192 	 28.121000 	 100.000000 
193 	 28.048000 	 100.000000 
194 	 28.069000 	 100.000000 
195 	 28.072000 	 100.000000 
196 	 28.075000 	 100.000000 
197 	 28.275000 	 100.000000 
198 	 28.361000 	 100.000000 
199 	 28.364000 	 100.000000 
200 	 28.385000 	 100.000000 
201 	 28.393000 	 100.000000 
202 	 28.441000 	 100.000000 
203 	 28.557000 	 100.000000 
204 	 28.747000 	 100.000000 
205 	 28.805000 	 100.000000 
206 	 28.806000 	 100.000000 
207 	 28.764000 	 100.000000 
208 	 28.886000 	 100.000000 
209 	 29.167000 	 100.000000 
210 	 29.228000 	 100.000000 
211 	 29.262000 	 100.000000 
212 	 29.313000 	 100.000000 
213 	 29.196000 	 100.000000 
214 	 29.108000 	 100.000000 
215 	 29.107000 	 100.000000 
216 	 29.152000 	 100.000000 
217 	 29.131000 	 100.000000 
218 	 29.308000 	 100.000000 
219 	 29.484000 	 100.000000 
220 	 29.577000 	 100.000000 
221 	 29.609000 	 100.000000 
222 	 29.592000 	 100.000000 
223 	 29.601000 	 100.000000 
224 	 29.664000 	 100.000000 
225 	 29.635000 	 100.000000 
226 	 29.700000 	 100.000000 
227 	 29.737000 	 100.000000 
228 	 29.954000 	 100.000000 
229 	 30.024000 	 100.000000 
230 	 30.051000 	 100.000000 
231 	 30.013000 	 100.000000 
232 	 29.964000 	 100.000000 
233 	 30.087000 	 100.000000 
234 	 30.062000 	 100.000000 
235 	 30.142000 	 100.000000 
236 	 30.171000 	 100.000000 
237 	 30.131000 	 100.000000 
238 	 30.090000 	 100.000000 
239 	 30.107000 	 100.000000 
240 	 30.060000 	 100.000000 
241 	 30.057000 	 100.000000 
242 	 30.144000 	 100.000000 
243 	 30.155000 	 100.000000 
244 	 30.234000 	 100.000000 
245 	 30.369000 	 100.000000 
246 	 30.461000 	 100.000000 
247 	 30.558000 	 100.000000 
248 	 30.638000 	 100.000000 
249 	 30.574000 	 100.000000 
250 	 30.502000 	 100.000000 
251 	 30.445000 	 100.000000 
252 	 30.494000 	 100.000000 
253 	 30.591000 	 100.000000 
254 	 30.785000 	 100.000000 
255 	 30.942000 	 100.000000 
256 	 30.990000 	 100.000000 
257 	 31.030000 	 100.000000 
258 	 31.032000 	 100.000000 
259 	 31.009000 	 100.000000 
260 	 31.097000 	 100.000000 
261 	 31.219000 	 100.000000 
262 	 31.337000 	 100.000000 
263 	 31.476000 	 100.000000 
264 	 31.476000 	 100.000000 
265 	 31.506000 	 100.000000 
266 	 31.489000 	 100.000000 
267 	 31.525000 	 100.000000 
268 	 31.503000 	 100.000000 
269 	 31.528000 	 100.000000 
270 	 31.496000 	 100.000000 
271 	 31.379000 	 100.000000 
272 	 31.360000 	 100.000000 
273 	 31.428000 	 100.000000 
274 	 31.468000 	 100.000000 
275 	 31.524000 	 100.000000 
276 	 31.693000 	 100.000000 
277 	 31.800000 	 100.000000 
278 	 31.912000 	 100.000000 
279 	 31.980000 	 100.000000 
280 	 31.906000 	 100.000000 
281 	 31.886000 	 100.000000 
282 	 31.906000 	 100.000000 
283 	 31.917000 	 100.000000 
284 	 31.927000 	 100.000000 
285 	 31.965000 	 100.000000 
286 	 32.058000 	 100.000000 
287 	 32.176000 	 100.000000 
288 	 32.219000 	 100.000000 
289 	 32.121000 	 100.000000 
290 	 32.045000 	 100.000000 
291 	 31.978000 	 100.000000 
292 	 32.042000 	 100.000000 
293 	 32.240000 	 100.000000 
294 	 32.305000 	 100.000000 
295 	 32.329000 	 100.000000 
