VARY   1,VARY   2,SEP1    ,SEP2    ,REACTOR ,COMPR   ,YIELD/2/,
S1      ,REACTOR ,,,,,366.28,
MIXED   ,PARAM   ,,,,,,
PRESSURE,TEMP,,,,,,
MPA,C,MJ/HR,MJ/HR,MJ/HR,KW,-,
31.83,495.34,-37575.2,-2687.87,-8454.76,242.893,0.942194,
31.83,498.34,-38195.2,-2809.35,-7750.6,251.212,0.942487,
31.83,501.34,-38835.5,-2934.76,-7025.03,259.807,0.942774,
31.83,504.34,-39496,-3064.4,-6274.34,268.695,0.943075,
31.83,507.34,-40178.5,-3198.68,-5499.02,277.891,0.943389,
31.83,510.34,-40883.8,-3337.49,-4698.15,287.403,0.943705,
31.83,513.34,-41612.7,-3481.19,-3869.84,297.246,0.944033,
31.83,516.34,-42366.2,-3629.84,-3014.26,307.431,0.944364,
31.83,519.34,-43145.3,-3783.82,-2128.43,317.977,0.94471,
31.83,528.34,-45645.4,-4277.83,723.052,351.882,0.945785,
31.83,531.34,-46541.7,-4456.49,1731.05,364.05,0.946167,
31.83,534.34,-47467.2,-4640.27,2783.52,376.633,0.946558,
31.83,537.34,-48426.1,-4830.69,3873.54,389.676,0.946952,
31.83,543.34,-50450.3,-5233.51,6176.24,417.247,0.947789,
31.83,546.34,-51519.4,-5446.18,7390.63,431.812,0.948209,
31.83,549.34,-52628.2,-5667.31,8653.06,446.942,0.948658,
31.83,552.34,-53779.7,-5896.92,9962.97,462.656,0.949111,
31.83,555.34,-54975.5,-6135.49,11323.5,478.982,0.949575,
31.83,558.34,-56218,-6383.48,12736.7,495.953,0.950048,
32.83,495.34,-36805.3,-2475.17,-9353.01,226.587,0.940709,
32.83,498.34,-37397.8,-2587.67,-8683.09,234.277,0.940989,
32.83,501.34,-38011.8,-2703.62,-7994.98,242.218,0.941314,
32.83,504.34,-38639.5,-2823.69,-7278.79,250.427,0.941558,
32.83,507.34,-39290.3,-2947.89,-6542.11,258.916,0.941862,
32.83,510.34,-39964.9,-3071.23,-5785.08,267.683,0.942183,
32.83,513.34,-40657.2,-3208.57,-4998.69,276.753,0.942485,
32.83,516.34,-41372.7,-3345.91,-4185.81,286.137,0.942803,
32.83,519.34,-42113,-3487.77,-3347.96,295.838,0.943131,
32.83,528.34,-44487.1,-3943.71,-659.852,327.015,0.944171,
32.83,531.34,-45333.3,-4106.76,299.461,338.153,0.944546,
32.83,534.34,-46208.6,-4275.4,1290.29,349.68,0.94492,
32.83,537.34,-47114.7,-4450.12,2317.08,361.622,0.945305,
32.83,543.34,-49024.8,-4818.78,4480.33,386.822,0.946098,
32.83,546.34,-50031.5,-5013.47,5621.49,400.122,0.946517,
32.83,549.34,-51075.1,-5215.27,6803.61,413.913,0.946938,
32.83,552.34,-52157.2,-5424.87,8031.24,428.229,0.947383,
32.83,555.34,-53279.7,-5642.3,9303.54,443.082,0.94783,
32.83,558.34,-54444.5,-5868.02,10623.2,458.502,0.948285,
33.83,495.34,-36088.9,-2285.44,-10182.5,211.983,0.93926,
33.83,498.34,-36659,-2387.28,-9545.43,219.117,0.939554,
33.83,501.34,-37241.8,-2497.89,-8883.99,226.486,0.939799,
33.83,504.34,-37845.5,-2609.3,-8204.23,234.096,0.940077,
33.83,507.34,-38467,-2724.49,-7502.15,241.957,0.940371,
33.83,510.34,-39109,-2843.44,-6778.49,250.078,0.940665,
33.83,513.34,-39774.5,-2966.19,-6035.18,258.467,0.94101,
33.83,516.34,-40454.8,-3093.43,-5260.43,267.143,0.94128,
33.83,519.34,-41165.2,-3211.19,-4472.76,276.106,0.941756,
33.83,528.34,-43420.6,-3646.13,-1917.14,304.872,0.942602,
33.83,531.34,-44223.5,-3796.58,-1008.15,315.132,0.942958,
33.83,534.34,-45054.4,-3952.12,-70.2282,325.744,0.94332,
33.83,537.34,-45913.7,-4112.18,910.541,336.727,0.943693,
33.83,543.34,-47722.1,-4452.43,2941.52,359.878,0.944462,
33.83,546.34,-48674.1,-4631.29,4016.5,372.077,0.944863,
33.83,549.34,-49659.9,-4816.71,5130.73,384.721,0.94528,
33.83,552.34,-50680.8,-5008.63,6282.57,397.817,0.945691,
33.83,555.34,-51738.7,-5208.01,7478.41,411.407,0.946132,
33.83,558.34,-52835.5,-5414.61,8717.02,425.496,0.946572,
34.83,495.34,-35418.5,-2114.91,-10945.7,198.842,0.937834,
34.83,498.34,-35964.1,-2212.26,-10334,205.484,0.938102,
34.83,501.34,-36525.4,-2312.87,-9702.33,212.342,0.938366,
34.83,504.34,-37103.4,-2425.4,-9050.94,219.421,0.938625,
34.83,507.34,-37701.2,-2521.5,-8393.83,226.736,0.938925,
34.83,510.34,-38317.7,-2635.15,-7700.07,234.276,0.939206,
34.83,513.34,-38950.1,-2749.56,-6986,242.069,0.939481,
34.83,516.34,-39603.7,-2867.82,-6250.51,250.121,0.939792,
34.83,519.34,-40278.1,-2989.86,-5492.04,258.436,0.940101,
34.83,528.34,-42430.9,-3380.46,-3067.54,285.06,0.941074,
34.83,531.34,-43199.5,-3520.23,-2206.23,294.567,0.941415,
34.83,534.34,-43990.5,-3664.31,-1315.84,304.379,0.941767,
34.83,537.34,-44808.7,-3813.12,-397.905,314.521,0.942113,
34.83,543.34,-46526.3,-4126.83,1536.41,335.879,0.942865,
34.83,546.34,-47429.1,-4290.81,2565.37,347.115,0.943252,
34.83,549.34,-48363.1,-4461.68,3617.78,358.751,0.943651,
34.83,552.34,-49330.1,-4638.78,4706.7,370.808,0.944061,
34.83,555.34,-50331,-4822.12,5834.68,383.291,0.944479,
